gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
SAA1	SAA1	INCONSISTENT	REPRESSED	unknown	no
THAP2	THAP2	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF417	ZNF417	SIMPLE_AND	INCONSISTENT	transcription factor	no
TNFRSF10D	TNFRSF10D	SIMPLE_OR	INCONSISTENT	unknown	no
MST1	MST1	SIMPLE_AND	INCONSISTENT	unknown	no
TNFRSF10C	TNFRSF10C	BIVALENT	REPRESSED	unknown	no
GMPPB	GMPPB	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF622	ZNF622	COMPLEX	SIMPLE_AND	transcription factor	no
SNX33	SNX33	SIMPLE_OR	SIMPLE_AND	unknown	no
CCDC106	CCDC106	SIMPLE_AND	INCONSISTENT	unknown	no
CEP83	CEP83	SIMPLE_AND	INCONSISTENT	unknown	no
PC	PC	INCONSISTENT	SIMPLE_AND	metabolic	no
SCAI	SCAI	SIMPLE_OR	SIMPLE_AND	unknown	no
NMNAT1	NMNAT1	SIMPLE_AND	INCONSISTENT	unknown	no
BCLAF3	BCLAF3	SIMPLE_OR	INCONSISTENT	unknown	no
HEG1	HEG1	SIMPLE_AND	BIVALENT	unknown	no
FAUP4	FAUP4	SIMPLE_AND	INCONSISTENT	unknown	no
JUP	JUP	SIMPLE_OR	SIMPLE_AND	unknown	no
HAP1	HAP1	REPRESSED	BIVALENT	unknown	no
EIF1	EIF1	COMPLEX	SIMPLE_AND	unknown	no
ENDOV	ENDOV	SIMPLE_AND	INCONSISTENT	unknown	no
MARCHF10	MARCHF10	REPRESSED	BIVALENT	unknown	no
PLK3	PLK3	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
NET1	NET1	BIVALENT	SIMPLE_AND	unknown	no
ENSG00000173867		COMPLEX	INCONSISTENT	unknown	no
PHOSPHO1	PHOSPHO1	INCONSISTENT	BIVALENT	unknown	no
CBX2	CBX2	BIVALENT	SIMPLE_AND	chromatin regulator	no
SPTBN2	SPTBN2	INCONSISTENT	SIMPLE_AND	structural/other	no
RBM4B	RBM4B	SIMPLE_AND	INCONSISTENT	unknown	no
HOXB2	HOXB2	SIMPLE_AND	INCONSISTENT	transcription factor	no
SWSAP1	SWSAP1	SIMPLE_AND	INCONSISTENT	unknown	no
UBXN2A	UBXN2A	SIMPLE_AND	INCONSISTENT	unknown	no
TCAP	TCAP	REPRESSED	INCONSISTENT	unknown	no
NRROS	NRROS	SIMPLE_AND	INCONSISTENT	unknown	no
GNG5	GNG5	COMPLEX	SIMPLE_AND	unknown	no
SLC25A30	SLC25A30	SIMPLE_AND	INCONSISTENT	metabolic	no
CTSF	CTSF	INCONSISTENT	BIVALENT	unknown	no
LEMD3	LEMD3	SIMPLE_AND	INCONSISTENT	unknown	no
C16orf91	C16orf91	SIMPLE_AND	INCONSISTENT	unknown	no
TLR1	TLR1	SIMPLE_AND	INCONSISTENT	unknown	no
TLR6	TLR6	SIMPLE_AND	INCONSISTENT	unknown	no
FAM174A	FAM174A	SIMPLE_AND	INCONSISTENT	unknown	no
RGMB	RGMB	BIVALENT	INCONSISTENT	unknown	no
CYB561D1	CYB561D1	SIMPLE_AND	INCONSISTENT	unknown	no
ZDHHC24	ZDHHC24	SIMPLE_AND	INCONSISTENT	unknown	no
TRMT10C	TRMT10C	COMPLEX	SIMPLE_AND	unknown	no
KICS2	KICS2	SIMPLE_AND	INCONSISTENT	unknown	no
ZBTB4	ZBTB4	SIMPLE_AND	INCONSISTENT	transcription factor	no
TNK1	TNK1	REPRESSED	INCONSISTENT	unknown	no
ZHX3	ZHX3	SIMPLE_AND	INCONSISTENT	unknown	no
SLC16A13	SLC16A13	SIMPLE_AND	INCONSISTENT	metabolic	no
SNHG11	SNHG11	SIMPLE_AND	INCONSISTENT	unknown	no
KCNJ5-AS1	KCNJ5-AS1	BIVALENT	REPRESSED	unknown	no
LIG4	LIG4	SIMPLE_AND	INCONSISTENT	unknown	no
GTF2IRD2B	GTF2IRD2B	SIMPLE_AND	INCONSISTENT	unknown	no
ZCCHC12	ZCCHC12	REPRESSED	BIVALENT	unknown	no
IGDCC3	IGDCC3	REPRESSED	BIVALENT	unknown	no
PELI3	PELI3	SIMPLE_AND	INCONSISTENT	unknown	no
TTC9B	TTC9B	REPRESSED	INCONSISTENT	unknown	no
MSL2	MSL2	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF497	ZNF497	SIMPLE_AND	INCONSISTENT	transcription factor	no
CMKLR1	CMKLR1	SIMPLE_OR	INCONSISTENT	unknown	no
ANGEL2	ANGEL2	COMPLEX	SIMPLE_AND	unknown	no
UGT8	UGT8	BIVALENT	SIMPLE_AND	unknown	no
IQCK	IQCK	SIMPLE_AND	INCONSISTENT	unknown	no
BRSK2	BRSK2	BIVALENT	INCONSISTENT	unknown	no
B4GAT1	B4GAT1	SIMPLE_AND	INCONSISTENT	unknown	no
SH3PXD2B	SH3PXD2B	SIMPLE_OR	BIVALENT	unknown	no
FGFBP3	FGFBP3	SIMPLE_OR	INCONSISTENT	unknown	no
NR1D2	NR1D2	BIVALENT	INCONSISTENT	unknown	no
CEP135	CEP135	SIMPLE_AND	INCONSISTENT	unknown	no
FZD4	FZD4	BIVALENT	INCONSISTENT	unknown	no
PDE12	PDE12	SIMPLE_AND	COMPLEX	unknown	no
GLMN	GLMN	SIMPLE_AND	INCONSISTENT	unknown	no
NLRP6	NLRP6	REPRESSED	COMPLEX	unknown	no
RSRC1	RSRC1	BIVALENT	SIMPLE_AND	unknown	no
SEZ6L2	SEZ6L2	INCONSISTENT	BIVALENT	unknown	no
ASPHD1	ASPHD1	INCONSISTENT	BIVALENT	unknown	no
KCTD13	KCTD13	SIMPLE_AND	INCONSISTENT	unknown	no
FBXW8	FBXW8	SIMPLE_OR	INCONSISTENT	unknown	no
CHST2	CHST2	SIMPLE_AND	COMPLEX	unknown	no
ZDHHC14	ZDHHC14	BIVALENT	INCONSISTENT	unknown	no
UBE2C	UBE2C	SIMPLE_AND	INCONSISTENT	unknown	no
GK5	GK5	SIMPLE_AND	INCONSISTENT	unknown	no
VCPIP1	VCPIP1	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF654	ZNF654	SIMPLE_AND	INCONSISTENT	transcription factor	no
CADM2	CADM2	BIVALENT	INCONSISTENT	unknown	no
PPM1E	PPM1E	BIVALENT	INCONSISTENT	unknown	no
FAM131A	FAM131A	SIMPLE_AND	INCONSISTENT	unknown	no
CSRP2	CSRP2	BIVALENT	INCONSISTENT	unknown	no
PCCA	PCCA	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF408	ZNF408	SIMPLE_AND	INCONSISTENT	transcription factor	no
GOLGA8A	GOLGA8A	SIMPLE_AND	INCONSISTENT	unknown	no
CENPS	CENPS	SIMPLE_AND	INCONSISTENT	unknown	no
CCNE2	CCNE2	SIMPLE_AND	INCONSISTENT	unknown	no
PHYKPL	PHYKPL	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF519	ZNF519	SIMPLE_AND	INCONSISTENT	transcription factor	no
TMEM9B	TMEM9B	SIMPLE_AND	INCONSISTENT	unknown	no
NRIP3	NRIP3	REPRESSED	SIMPLE_AND	unknown	no
ZNF25	ZNF25	SIMPLE_AND	INCONSISTENT	transcription factor	no
TBC1D10C	TBC1D10C	SIMPLE_AND	INCONSISTENT	unknown	no
LRRC25	LRRC25	SIMPLE_OR	INCONSISTENT	unknown	no
UBQLN3	UBQLN3	REPRESSED	INCONSISTENT	unknown	no
LIPT2	LIPT2	SIMPLE_AND	INCONSISTENT	unknown	no
ALG10B	ALG10B	SIMPLE_AND	INCONSISTENT	unknown	no
LONRF3	LONRF3	REPRESSED	SIMPLE_AND	unknown	no
FOSL1	FOSL1	SIMPLE_AND	INCONSISTENT	transcription factor	no
ERCC4	ERCC4	SIMPLE_AND	INCONSISTENT	unknown	yes
SUGCT	SUGCT	SIMPLE_AND	INCONSISTENT	unknown	no
ERCC6L2-AS1	ERCC6L2-AS1	SIMPLE_AND	INCONSISTENT	unknown	no
TOM1L2	TOM1L2	SIMPLE_OR	INCONSISTENT	unknown	no
ZNF77	ZNF77	SIMPLE_AND	INCONSISTENT	transcription factor	no
GPR156	GPR156	REPRESSED	INCONSISTENT	unknown	no
KDF1	KDF1	BIVALENT	INCONSISTENT	unknown	no
B3GNTL1	B3GNTL1	SIMPLE_AND	INCONSISTENT	unknown	no
MLXIP	MLXIP	SIMPLE_OR	SIMPLE_AND	unknown	no
NR2F1	NR2F1	BIVALENT	INCONSISTENT	unknown	no
TTLL11	TTLL11	BIVALENT	INCONSISTENT	unknown	no
EIF4E1B	EIF4E1B	REPRESSED	BIVALENT	unknown	no
SLC35E3	SLC35E3	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF169	ZNF169	SIMPLE_AND	INCONSISTENT	transcription factor	no
MSRA	MSRA	SIMPLE_AND	INCONSISTENT	unknown	no
BAIAP2	BAIAP2	BIVALENT	SIMPLE_AND	unknown	no
HOXD8	HOXD8	REPRESSED	BIVALENT	transcription factor	no
ZDHHC21	ZDHHC21	SIMPLE_AND	INCONSISTENT	unknown	no
B3GALT6	B3GALT6	SIMPLE_AND	COMPLEX	unknown	no
ZNF613	ZNF613	SIMPLE_AND	COMPLEX	transcription factor	no
MBLAC2	MBLAC2	SIMPLE_AND	INCONSISTENT	unknown	no
CSTF3	CSTF3	SIMPLE_AND	COMPLEX	unknown	no
CHMP6	CHMP6	SIMPLE_AND	INCONSISTENT	unknown	no
UFSP1	UFSP1	SIMPLE_AND	INCONSISTENT	unknown	no
TCP11L1	TCP11L1	SIMPLE_AND	INCONSISTENT	unknown	no
FOXG1	FOXG1	REPRESSED	INCONSISTENT	transcription factor	no
MYPOP	MYPOP	SIMPLE_AND	INCONSISTENT	unknown	no
OR4D11	OR4D11	INCONSISTENT	REPRESSED	unknown	no
SLC35G1	SLC35G1	SIMPLE_AND	INCONSISTENT	unknown	no
ZSCAN2	ZSCAN2	SIMPLE_AND	INCONSISTENT	unknown	no
PRR18	PRR18	SIMPLE_AND	REPRESSED	unknown	no
B3GNT4	B3GNT4	BIVALENT	INCONSISTENT	unknown	no
HSD11B2	HSD11B2	REPRESSED	INCONSISTENT	unknown	no
EID2	EID2	SIMPLE_AND	INCONSISTENT	unknown	no
EID2B	EID2B	SIMPLE_AND	INCONSISTENT	unknown	no
GJC3	GJC3	REPRESSED	BIVALENT	unknown	no
DNAJC30	DNAJC30	SIMPLE_AND	INCONSISTENT	unknown	no
SPRYD4	SPRYD4	SIMPLE_AND	INCONSISTENT	unknown	no
VPS37D	VPS37D	BIVALENT	INCONSISTENT	unknown	no
SYNE3	SYNE3	SIMPLE_AND	INCONSISTENT	unknown	no
CLK2	CLK2	SIMPLE_OR	SIMPLE_AND	kinase/signaling	no
SLCO3A1	SLCO3A1	BIVALENT	INCONSISTENT	unknown	no
WDR25	WDR25	SIMPLE_AND	INCONSISTENT	unknown	no
SGF29	SGF29	SIMPLE_AND	INCONSISTENT	unknown	no
DIRAS1	DIRAS1	REPRESSED	INCONSISTENT	unknown	no
PHLDB3	PHLDB3	SIMPLE_AND	INCONSISTENT	unknown	no
GNG7	GNG7	SIMPLE_AND	INCONSISTENT	unknown	no
USF3	USF3	SIMPLE_AND	INCONSISTENT	unknown	no
B3GNT5	B3GNT5	BIVALENT	SIMPLE_AND	unknown	no
RNF152	RNF152	BIVALENT	INCONSISTENT	unknown	no
SCAND2P	SCAND2P	SIMPLE_AND	INCONSISTENT	unknown	no
CDK5R1	CDK5R1	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
PAK6-AS1	PAK6-AS1	BIVALENT	REPRESSED	unknown	no
LRRC37A3	LRRC37A3	SIMPLE_AND	INCONSISTENT	unknown	no
VSIG10	VSIG10	SIMPLE_AND	INCONSISTENT	unknown	no
IRX5	IRX5	BIVALENT	INCONSISTENT	transcription factor	no
METRNL	METRNL	BIVALENT	SIMPLE_OR	unknown	no
GRIN1	GRIN1	REPRESSED	INCONSISTENT	unknown	no
PXMP2	PXMP2	COMPLEX	SIMPLE_AND	unknown	no
TCEANC	TCEANC	SIMPLE_AND	INCONSISTENT	unknown	no
PNMA1	PNMA1	SIMPLE_AND	INCONSISTENT	unknown	no
TYMSOS	TYMSOS	SIMPLE_AND	INCONSISTENT	unknown	no
TOB2P1	TOB2P1	SIMPLE_OR	INCONSISTENT	unknown	no
FAM89B	FAM89B	SIMPLE_AND	INCONSISTENT	unknown	no
SMCR8	SMCR8	SIMPLE_AND	INCONSISTENT	unknown	no
HCG4	HCG4	BIVALENT	REPRESSED	unknown	no
TMEM80	TMEM80	SIMPLE_AND	INCONSISTENT	unknown	no
SIX5	SIX5	SIMPLE_AND	INCONSISTENT	transcription factor	no
FBXO46	FBXO46	SIMPLE_AND	INCONSISTENT	unknown	no
ZDHHC13	ZDHHC13	SIMPLE_AND	INCONSISTENT	unknown	no
ACER2	ACER2	BIVALENT	INCONSISTENT	unknown	no
POLE	POLE	COMPLEX	SIMPLE_AND	unknown	yes
ZDHHC22	ZDHHC22	REPRESSED	BIVALENT	unknown	no
IRAG1-AS1	IRAG1-AS1	BIVALENT	INCONSISTENT	unknown	no
ULK1	ULK1	SIMPLE_AND	INCONSISTENT	unknown	no
RIMKLA	RIMKLA	INCONSISTENT	BIVALENT	unknown	no
RPS6KA3	RPS6KA3	BIVALENT	SIMPLE_AND	unknown	no
TRIM72	TRIM72	REPRESSED	INCONSISTENT	unknown	no
DLGAP1-AS1	DLGAP1-AS1	SIMPLE_AND	INCONSISTENT	unknown	no
C10orf71	C10orf71	REPRESSED	INCONSISTENT	unknown	no
FLJ40194	FLJ40194	INCONSISTENT	BIVALENT	unknown	no
TIMM22	TIMM22	SIMPLE_AND	INCONSISTENT	unknown	no
HIC1	HIC1	SIMPLE_AND	INCONSISTENT	unknown	no
PPFIA3	PPFIA3	BIVALENT	SIMPLE_AND	unknown	no
MAGEF1	MAGEF1	SIMPLE_AND	INCONSISTENT	unknown	no
UMODL1	UMODL1	INCONSISTENT	REPRESSED	unknown	no
SAMD9L	SAMD9L	SIMPLE_AND	INCONSISTENT	unknown	no
MIEF2	MIEF2	SIMPLE_AND	INCONSISTENT	unknown	no
ERICH5	ERICH5	INCONSISTENT	REPRESSED	unknown	no
GPR4	GPR4	REPRESSED	BIVALENT	unknown	no
CAVIN1	CAVIN1	REPRESSED	SIMPLE_AND	unknown	no
ATOX1	ATOX1	COMPLEX	SIMPLE_AND	unknown	no
SAMD12	SAMD12	SIMPLE_AND	INCONSISTENT	unknown	no
C18orf32	C18orf32	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF491	ZNF491	SIMPLE_AND	INCONSISTENT	transcription factor	no
HASPIN	HASPIN	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
CSTF2T	CSTF2T	SIMPLE_AND	INCONSISTENT	unknown	no
CASC2	CASC2	SIMPLE_AND	INCONSISTENT	unknown	no
IL17RA	IL17RA	SIMPLE_AND	INCONSISTENT	unknown	no
CRACR2B	CRACR2B	SIMPLE_AND	INCONSISTENT	unknown	no
CD151	CD151	SIMPLE_OR	SIMPLE_AND	unknown	no
NECTIN3	NECTIN3	REPRESSED	INCONSISTENT	unknown	no
ANXA2R	ANXA2R	SIMPLE_AND	INCONSISTENT	unknown	no
SOX12	SOX12	SIMPLE_AND	INCONSISTENT	transcription factor	no
HNRNPA0	HNRNPA0	SIMPLE_AND	INCONSISTENT	unknown	no
ANXA2R-OT1	ANXA2R-OT1	SIMPLE_AND	INCONSISTENT	unknown	no
KCNJ10	KCNJ10	BIVALENT	INCONSISTENT	unknown	no
ZNF620	ZNF620	SIMPLE_AND	INCONSISTENT	transcription factor	no
ZNF518A	ZNF518A	COMPLEX	SIMPLE_AND	transcription factor	no
TMEM187	TMEM187	SIMPLE_AND	INCONSISTENT	unknown	no
SVBP	SVBP	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF619	ZNF619	SIMPLE_AND	INCONSISTENT	transcription factor	no
CCDC184	CCDC184	BIVALENT	INCONSISTENT	unknown	no
AP3S1	AP3S1	COMPLEX	SIMPLE_AND	unknown	no
ZBTB41	ZBTB41	SIMPLE_AND	INCONSISTENT	transcription factor	no
MAMDC4	MAMDC4	SIMPLE_AND	INCONSISTENT	unknown	no
CENPBD1P	CENPBD1P	SIMPLE_AND	INCONSISTENT	unknown	no
IMP3	IMP3	SIMPLE_OR	SIMPLE_AND	unknown	no
ODF3B	ODF3B	SIMPLE_AND	INCONSISTENT	unknown	no
C2orf73	C2orf73	BIVALENT	INCONSISTENT	unknown	no
LRRC75B	LRRC75B	SIMPLE_OR	INCONSISTENT	unknown	no
C2orf69	C2orf69	SIMPLE_AND	INCONSISTENT	unknown	no
STAP2	STAP2	SIMPLE_AND	INCONSISTENT	unknown	no
TSSK6	TSSK6	SIMPLE_AND	INCONSISTENT	unknown	no
BOLA1	BOLA1	SIMPLE_AND	INCONSISTENT	unknown	no
AMER3	AMER3	REPRESSED	BIVALENT	unknown	no
LCORL	LCORL	SIMPLE_AND	INCONSISTENT	unknown	no
PARD6G	PARD6G	BIVALENT	INCONSISTENT	unknown	no
ZC3H12D	ZC3H12D	SIMPLE_AND	REPRESSED	unknown	no
ZNF543	ZNF543	SIMPLE_AND	INCONSISTENT	transcription factor	no
TMEM151B	TMEM151B	REPRESSED	BIVALENT	unknown	no
ZNF354B	ZNF354B	SIMPLE_OR	INCONSISTENT	transcription factor	no
ZFAND2A	ZFAND2A	SIMPLE_AND	INCONSISTENT	unknown	no
PLEKHM3	PLEKHM3	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF223	ZNF223	COMPLEX	INCONSISTENT	transcription factor	no
NEUROG2	NEUROG2	SIMPLE_AND	BIVALENT	unknown	no
BEND3	BEND3	SIMPLE_AND	INCONSISTENT	unknown	no
TIMM23B-AGAP6	TIMM23B-AGAP6	SIMPLE_AND	INCONSISTENT	unknown	no
GLDC	GLDC	SIMPLE_AND	REPRESSED	unknown	no
P4HTM	P4HTM	SIMPLE_AND	INCONSISTENT	unknown	no
CA8	CA8	REPRESSED	SIMPLE_AND	unknown	no
MAF	MAF	REPRESSED	BIVALENT	transcription factor	yes
GTPBP6	GTPBP6	SIMPLE_AND	INCONSISTENT	unknown	no
ERN1	ERN1	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF713	ZNF713	COMPLEX	INCONSISTENT	transcription factor	no
NSUN3	NSUN3	SIMPLE_AND	INCONSISTENT	unknown	no
KCTD12	KCTD12	SIMPLE_OR	INCONSISTENT	unknown	no
DHFR2	DHFR2	SIMPLE_AND	INCONSISTENT	unknown	no
THBD	THBD	REPRESSED	INCONSISTENT	unknown	no
ERFE	ERFE	REPRESSED	INCONSISTENT	unknown	no
FAM219B	FAM219B	SIMPLE_AND	INCONSISTENT	unknown	no
ZHX2	ZHX2	SIMPLE_AND	REPRESSED	unknown	no
EFCAB13	EFCAB13	SIMPLE_AND	INCONSISTENT	unknown	no
MSC	MSC	SIMPLE_AND	REPRESSED	unknown	no
APOLD1	APOLD1	SIMPLE_AND	INCONSISTENT	unknown	no
DPY19L3	DPY19L3	COMPLEX	SIMPLE_AND	unknown	no
HYI	HYI	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF552	ZNF552	SIMPLE_AND	INCONSISTENT	transcription factor	no
SMIM10L2A	SMIM10L2A	SIMPLE_OR	INCONSISTENT	unknown	no
RMI1	RMI1	COMPLEX	SIMPLE_AND	unknown	no
CTC1	CTC1	SIMPLE_AND	INCONSISTENT	unknown	no
SNX18	SNX18	SIMPLE_AND	INCONSISTENT	unknown	no
C9orf50	C9orf50	REPRESSED	BIVALENT	unknown	no
HTR1F	HTR1F	REPRESSED	INCONSISTENT	unknown	no
TMTC2	TMTC2	SIMPLE_AND	BIVALENT	unknown	no
HES7	HES7	BIVALENT	INCONSISTENT	transcription factor	no
ALOXE3	ALOXE3	BIVALENT	INCONSISTENT	unknown	no
EDC3	EDC3	COMPLEX	SIMPLE_AND	unknown	no
FUCA1	FUCA1	SIMPLE_AND	INCONSISTENT	unknown	no
GGN	GGN	REPRESSED	INCONSISTENT	unknown	no
GVQW3	GVQW3	SIMPLE_OR	INCONSISTENT	unknown	no
TMEM151A	TMEM151A	BIVALENT	INCONSISTENT	unknown	no
NSUN7	NSUN7	INCONSISTENT	REPRESSED	unknown	no
RAB39A	RAB39A	SIMPLE_AND	INCONSISTENT	unknown	no
GATA2	GATA2	REPRESSED	SIMPLE_AND	transcription factor	yes
EGR3	EGR3	BIVALENT	INCONSISTENT	transcription factor	no
CATSPERE	CATSPERE	INCONSISTENT	COMPLEX	unknown	no
GPC5	GPC5	SIMPLE_AND	BIVALENT	unknown	yes
VWA1	VWA1	BIVALENT	INCONSISTENT	unknown	no
IL6-AS1	IL6-AS1	REPRESSED	INCONSISTENT	unknown	no
FJX1	FJX1	SIMPLE_AND	BIVALENT	unknown	no
ZBTB18	ZBTB18	SIMPLE_AND	BIVALENT	transcription factor	no
C14orf28	C14orf28	SIMPLE_AND	INCONSISTENT	unknown	no
EIF3J-DT	EIF3J-DT	SIMPLE_AND	INCONSISTENT	unknown	no
LBX2	LBX2	SIMPLE_OR	INCONSISTENT	unknown	no
HTR1D	HTR1D	REPRESSED	BIVALENT	unknown	no
CIITA	CIITA	SIMPLE_OR	REPRESSED	unknown	yes
ZFPM1	ZFPM1	BIVALENT	SIMPLE_AND	unknown	no
PLD6	PLD6	SIMPLE_AND	INCONSISTENT	unknown	no
ZBTB42	ZBTB42	SIMPLE_OR	INCONSISTENT	transcription factor	no
TPPP2	TPPP2	REPRESSED	INCONSISTENT	unknown	no
RPRML	RPRML	REPRESSED	BIVALENT	unknown	no
WDR97	WDR97	SIMPLE_OR	INCONSISTENT	unknown	no
PCED1B	PCED1B	BIVALENT	INCONSISTENT	unknown	no
SPEN-AS1	SPEN-AS1	SIMPLE_AND	INCONSISTENT	unknown	no
APOBEC3B	APOBEC3B	INCONSISTENT	COMPLEX	unknown	yes
PIPOX	PIPOX	SIMPLE_AND	INCONSISTENT	unknown	no
ATOH7	ATOH7	BIVALENT	INCONSISTENT	unknown	no
MYADM	MYADM	REPRESSED	SIMPLE_OR	unknown	no
MROH1	MROH1	SIMPLE_AND	INCONSISTENT	unknown	no
SERTAD2	SERTAD2	SIMPLE_AND	INCONSISTENT	unknown	no
PIK3CD-AS1	PIK3CD-AS1	SIMPLE_AND	INCONSISTENT	unknown	no
AKAP5	AKAP5	SIMPLE_AND	INCONSISTENT	unknown	no
GIPC3	GIPC3	REPRESSED	INCONSISTENT	unknown	no
RNF227	RNF227	SIMPLE_AND	INCONSISTENT	unknown	no
CITED4	CITED4	BIVALENT	INCONSISTENT	unknown	no
TIGD5	TIGD5	SIMPLE_AND	INCONSISTENT	unknown	no
CFAP276	CFAP276	BIVALENT	INCONSISTENT	unknown	no
B3GNT3	B3GNT3	REPRESSED	INCONSISTENT	unknown	no
ZNF784	ZNF784	COMPLEX	INCONSISTENT	transcription factor	no
BBS10	BBS10	SIMPLE_AND	INCONSISTENT	unknown	no
FIZ1	FIZ1	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF771	ZNF771	SIMPLE_OR	INCONSISTENT	transcription factor	no
TSHZ1	TSHZ1	SIMPLE_AND	INCONSISTENT	unknown	no
PSTK	PSTK	SIMPLE_AND	INCONSISTENT	unknown	no
SOCS4	SOCS4	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF48	ZNF48	SIMPLE_AND	INCONSISTENT	transcription factor	no
C3orf80	C3orf80	BIVALENT	INCONSISTENT	unknown	no
SEPTIN1	SEPTIN1	SIMPLE_AND	INCONSISTENT	unknown	no
ZNRF2	ZNRF2	SIMPLE_AND	INCONSISTENT	unknown	no
ADGRD2	ADGRD2	REPRESSED	INCONSISTENT	unknown	no
FZD2	FZD2	SIMPLE_AND	INCONSISTENT	unknown	no
TIGD2	TIGD2	SIMPLE_AND	BIVALENT	unknown	no
HCLS1	HCLS1	SIMPLE_AND	INCONSISTENT	unknown	no
MTURN	MTURN	BIVALENT	INCONSISTENT	unknown	no
EMC3-AS1	EMC3-AS1	SIMPLE_AND	INCONSISTENT	unknown	no
HARBI1	HARBI1	SIMPLE_AND	INCONSISTENT	unknown	no
C11orf71	C11orf71	COMPLEX	INCONSISTENT	unknown	no
ARHGAP45	ARHGAP45	SIMPLE_AND	INCONSISTENT	unknown	no
ENSG00000180458		REPRESSED	INCONSISTENT	unknown	no
ZNF571	ZNF571	SIMPLE_AND	INCONSISTENT	transcription factor	no
MIGA1	MIGA1	SIMPLE_AND	INCONSISTENT	unknown	no
RNF182	RNF182	REPRESSED	SIMPLE_AND	unknown	no
LINC02908	LINC02908	BIVALENT	INCONSISTENT	unknown	no
SKIDA1	SKIDA1	BIVALENT	INCONSISTENT	unknown	no
MB21D2	MB21D2	SIMPLE_AND	BIVALENT	unknown	yes
ZNF594	ZNF594	COMPLEX	INCONSISTENT	transcription factor	no
LINC02363	LINC02363	SIMPLE_AND	INCONSISTENT	unknown	no
CHRM4	CHRM4	BIVALENT	INCONSISTENT	unknown	no
S1PR5	S1PR5	REPRESSED	INCONSISTENT	unknown	no
GPR157	GPR157	SIMPLE_AND	INCONSISTENT	unknown	no
WDFY3-AS2	WDFY3-AS2	REPRESSED	INCONSISTENT	unknown	no
SLC36A4	SLC36A4	SIMPLE_AND	INCONSISTENT	metabolic	no
HOXC9	HOXC9	BIVALENT	INCONSISTENT	transcription factor	no
HOXC10	HOXC10	REPRESSED	INCONSISTENT	transcription factor	no
PSMG4	PSMG4	REPRESSED	BIVALENT	unknown	no
ZNF443	ZNF443	SIMPLE_AND	INCONSISTENT	transcription factor	no
PDIA3P1	PDIA3P1	SIMPLE_AND	INCONSISTENT	unknown	no
CAPS2	CAPS2	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF792	ZNF792	SIMPLE_AND	COMPLEX	transcription factor	no
CUEDC1	CUEDC1	BIVALENT	INCONSISTENT	unknown	no
OXTR	OXTR	SIMPLE_OR	REPRESSED	unknown	no
CMTR2	CMTR2	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF572	ZNF572	COMPLEX	INCONSISTENT	transcription factor	no
ST20	ST20	SIMPLE_AND	INCONSISTENT	unknown	no
LRRC57	LRRC57	SIMPLE_AND	INCONSISTENT	unknown	no
OR52N2	OR52N2	INCONSISTENT	COMPLEX	unknown	no
ZFP82	ZFP82	SIMPLE_AND	INCONSISTENT	transcription factor	no
FKRP	FKRP	SIMPLE_AND	INCONSISTENT	unknown	no
RPH3AL	RPH3AL	BIVALENT	INCONSISTENT	unknown	no
SLC26A11	SLC26A11	SIMPLE_AND	INCONSISTENT	metabolic	no
F2R	F2R	BIVALENT	SIMPLE_AND	unknown	no
HLA-V	HLA-V	BIVALENT	REPRESSED	unknown	no
ZNF707	ZNF707	SIMPLE_AND	INCONSISTENT	transcription factor	no
PJA1	PJA1	SIMPLE_AND	INCONSISTENT	unknown	no
FRAT2	FRAT2	BIVALENT	INCONSISTENT	unknown	no
TMEM102	TMEM102	SIMPLE_AND	INCONSISTENT	unknown	no
NME9	NME9	REPRESSED	INCONSISTENT	unknown	no
LRRC75A	LRRC75A	BIVALENT	INCONSISTENT	unknown	no
UTS2R	UTS2R	REPRESSED	INCONSISTENT	unknown	no
DDN	DDN	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF678	ZNF678	COMPLEX	SIMPLE_AND	transcription factor	no
TMEM45A	TMEM45A	SIMPLE_AND	INCONSISTENT	unknown	no
ZBTB2	ZBTB2	SIMPLE_AND	INCONSISTENT	transcription factor	no
ACBD4	ACBD4	SIMPLE_OR	INCONSISTENT	unknown	no
SGSH	SGSH	SIMPLE_AND	INCONSISTENT	unknown	no
