gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
ZDHHC6	ZDHHC6	SIMPLE_AND	INCONSISTENT	unknown	no
BIRC3	BIRC3	COMPLEX	INCONSISTENT	unknown	yes
AKAP11	AKAP11	SIMPLE_AND	COMPLEX	unknown	no
GLRX2	GLRX2	SIMPLE_AND	INCONSISTENT	unknown	no
SNAPC1	SNAPC1	SIMPLE_AND	INCONSISTENT	unknown	no
DERA	DERA	SIMPLE_AND	INCONSISTENT	unknown	no
PLEKHO1	PLEKHO1	SIMPLE_AND	INCONSISTENT	unknown	no
CCDC28A	CCDC28A	SIMPLE_AND	INCONSISTENT	unknown	no
RRAGD	RRAGD	SIMPLE_AND	BIVALENT	unknown	no
NR1H3	NR1H3	COMPLEX	SIMPLE_AND	unknown	no
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B	SIMPLE_AND	INCONSISTENT	unknown	no
CD44	CD44	SIMPLE_AND	BIVALENT	unknown	no
KCNG1	KCNG1	REPRESSED	BIVALENT	unknown	no
AGPAT4	AGPAT4	SIMPLE_OR	INCONSISTENT	unknown	no
BTN3A1	BTN3A1	SIMPLE_AND	INCONSISTENT	unknown	no
MIPEP	MIPEP	SIMPLE_AND	INCONSISTENT	unknown	no
PRKCH	PRKCH	REPRESSED	BIVALENT	kinase/signaling	no
INSRR	INSRR	BIVALENT	INCONSISTENT	unknown	no
IFNGR1	IFNGR1	SIMPLE_AND	INCONSISTENT	unknown	no
B4GALT7	B4GALT7	SIMPLE_AND	INCONSISTENT	unknown	no
POU2F2	POU2F2	SIMPLE_OR	INCONSISTENT	transcription factor	no
BMAL2	BMAL2	SIMPLE_AND	BIVALENT	unknown	no
IKZF2	IKZF2	SIMPLE_AND	INCONSISTENT	transcription factor	no
ARHGAP31	ARHGAP31	SIMPLE_AND	INCONSISTENT	unknown	no
CENPQ	CENPQ	SIMPLE_AND	INCONSISTENT	unknown	no
ARID4A	ARID4A	COMPLEX	INCONSISTENT	chromatin regulator	no
IFT88	IFT88	SIMPLE_AND	COMPLEX	unknown	no
ALG1	ALG1	SIMPLE_OR	SIMPLE_AND	unknown	no
FUT8	FUT8	SIMPLE_AND	INCONSISTENT	unknown	no
GAB2	GAB2	COMPLEX	INCONSISTENT	unknown	no
MAP2K3	MAP2K3	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
ASTE1	ASTE1	SIMPLE_AND	INCONSISTENT	unknown	no
SH3YL1	SH3YL1	SIMPLE_AND	INCONSISTENT	unknown	no
ADSS2	ADSS2	SIMPLE_AND	COMPLEX	unknown	no
CYP46A1	CYP46A1	BIVALENT	INCONSISTENT	metabolic	no
USP2	USP2	BIVALENT	INCONSISTENT	unknown	no
HOXC8	HOXC8	REPRESSED	INCONSISTENT	transcription factor	no
AGA	AGA	SIMPLE_AND	INCONSISTENT	unknown	no
PI4K2B	PI4K2B	SIMPLE_AND	INCONSISTENT	unknown	no
TRIO	TRIO	SIMPLE_AND	INCONSISTENT	unknown	no
ZFYVE16	ZFYVE16	SIMPLE_AND	INCONSISTENT	unknown	no
RAI14	RAI14	REPRESSED	SIMPLE_AND	unknown	no
PHLPP2	PHLPP2	SIMPLE_AND	INCONSISTENT	unknown	no
CTNS	CTNS	SIMPLE_AND	INCONSISTENT	unknown	no
PARP3	PARP3	SIMPLE_AND	INCONSISTENT	unknown	no
THAP3	THAP3	SIMPLE_AND	INCONSISTENT	unknown	no
AIFM2	AIFM2	SIMPLE_AND	INCONSISTENT	unknown	no
SPATA7	SPATA7	SIMPLE_OR	INCONSISTENT	unknown	no
ZIC2	ZIC2	BIVALENT	SIMPLE_AND	transcription factor	no
ADRB1	ADRB1	SIMPLE_OR	INCONSISTENT	unknown	no
GEMIN8	GEMIN8	COMPLEX	SIMPLE_AND	unknown	no
OFD1	OFD1	SIMPLE_AND	INCONSISTENT	unknown	no
GPM6B	GPM6B	BIVALENT	REPRESSED	unknown	no
YTHDC2	YTHDC2	SIMPLE_AND	COMPLEX	unknown	no
POLR2B	POLR2B	COMPLEX	SIMPLE_AND	unknown	no
ATOSA	ATOSA	SIMPLE_OR	REPRESSED	unknown	no
ARAP2	ARAP2	SIMPLE_AND	INCONSISTENT	unknown	no
KATNIP	KATNIP	SIMPLE_AND	INCONSISTENT	unknown	no
XK	XK	INCONSISTENT	SIMPLE_AND	unknown	no
WWC3	WWC3	SIMPLE_AND	INCONSISTENT	unknown	no
ARHGAP6	ARHGAP6	INCONSISTENT	REPRESSED	unknown	no
RRM2B	RRM2B	SIMPLE_AND	INCONSISTENT	unknown	no
TNFRSF17	TNFRSF17	SIMPLE_AND	INCONSISTENT	unknown	yes
SNX29	SNX29	SIMPLE_AND	INCONSISTENT	unknown	yes
KITLG	KITLG	REPRESSED	INCONSISTENT	unknown	no
ADAMTS6	ADAMTS6	SIMPLE_AND	INCONSISTENT	unknown	no
H6PD	H6PD	SIMPLE_AND	INCONSISTENT	unknown	no
PER3	PER3	SIMPLE_OR	COMPLEX	unknown	no
TNFRSF9	TNFRSF9	REPRESSED	BIVALENT	unknown	no
LTBP1	LTBP1	BIVALENT	SIMPLE_AND	unknown	no
RCN1	RCN1	SIMPLE_AND	INCONSISTENT	unknown	no
PPP1R3F	PPP1R3F	SIMPLE_AND	INCONSISTENT	unknown	no
HEXB	HEXB	SIMPLE_AND	SIMPLE_OR	unknown	no
PTCD2	PTCD2	SIMPLE_AND	INCONSISTENT	unknown	no
DKK3	DKK3	REPRESSED	INCONSISTENT	unknown	no
NFE2L3	NFE2L3	SIMPLE_AND	INCONSISTENT	transcription factor	no
LIMA1	LIMA1	BIVALENT	SIMPLE_AND	unknown	no
SLC4A8	SLC4A8	SIMPLE_AND	INCONSISTENT	metabolic	no
PTGER3	PTGER3	REPRESSED	INCONSISTENT	unknown	no
COL23A1	COL23A1	REPRESSED	BIVALENT	structural/other	no
BCAR1	BCAR1	SIMPLE_AND	INCONSISTENT	unknown	no
HOMER3	HOMER3	BIVALENT	INCONSISTENT	unknown	no
HEBP2	HEBP2	SIMPLE_AND	INCONSISTENT	unknown	no
PLEKHA5	PLEKHA5	BIVALENT	INCONSISTENT	unknown	no
ALX4	ALX4	REPRESSED	INCONSISTENT	unknown	no
FOXN3	FOXN3	SIMPLE_AND	INCONSISTENT	transcription factor	no
MCF2L2	MCF2L2	BIVALENT	INCONSISTENT	unknown	no
KCNQ1	KCNQ1	REPRESSED	INCONSISTENT	unknown	no
