gene_id	gene_name	GM12878_gate_type	K562_gate_type	switch_category
ENSG00000256229	ZNF486	INCONSISTENT	INCONSISTENT	no change
ENSG00000256235	SMIM3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256237		INCONSISTENT	REPRESSED	complex->complex
ENSG00000256262	USP30-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000256269	HMBS	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000256294	ZNF225	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256312		INCONSISTENT	INCONSISTENT	no change
ENSG00000256349		INCONSISTENT	INCONSISTENT	no change
ENSG00000256377	MRPS35-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000256403		INCONSISTENT	INCONSISTENT	no change
ENSG00000256407		INCONSISTENT	INCONSISTENT	no change
ENSG00000256441	DNAJB6P5	REPRESSED	REPRESSED	no change
ENSG00000256442		INCONSISTENT	INCONSISTENT	no change
ENSG00000256458		INCONSISTENT	INCONSISTENT	no change
ENSG00000256500		INCONSISTENT	INCONSISTENT	no change
ENSG00000256508	MRGPRF-AS1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000256514		INCONSISTENT	INCONSISTENT	no change
ENSG00000256525	POLG2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000256537	SMIM10L1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256546	LINC02985	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000256560	LINC01486	INCONSISTENT	REPRESSED	complex->complex
ENSG00000256566		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256568		SIMPLE_AND	REPRESSED	simple->complex
ENSG00000256569		INCONSISTENT	INCONSISTENT	no change
ENSG00000256576	LINC02361	INCONSISTENT	INCONSISTENT	no change
ENSG00000256591		COMPLEX	SIMPLE_AND	complex->simple
ENSG00000256594		SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000256596		REPRESSED	REPRESSED	no change
ENSG00000256603		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256628	ZBTB11-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256632		INCONSISTENT	INCONSISTENT	no change
ENSG00000256646		INCONSISTENT	INCONSISTENT	no change
ENSG00000256658		INCONSISTENT	INCONSISTENT	no change
ENSG00000256670	RASSF3-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000256678		INCONSISTENT	INCONSISTENT	no change
ENSG00000256683	ZNF350	COMPLEX	COMPLEX	no change
ENSG00000256690	STX5-DT	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256706		REPRESSED	INCONSISTENT	complex->complex
ENSG00000256712		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256717	LINC02698	REPRESSED	REPRESSED	no change
ENSG00000256739		INCONSISTENT	INCONSISTENT	no change
ENSG00000256742	KDM2B-DT	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256746	MADD-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000256747		INCONSISTENT	INCONSISTENT	no change
ENSG00000256748		INCONSISTENT	INCONSISTENT	no change
ENSG00000256751	PLBD1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000256769	CACNA1C-AS3	REPRESSED	REPRESSED	no change
ENSG00000256771	ZNF253	COMPLEX	INCONSISTENT	complex->complex
ENSG00000256806	C17orf100	INCONSISTENT	INCONSISTENT	no change
ENSG00000256824		REPRESSED	INCONSISTENT	complex->complex
ENSG00000256825		INCONSISTENT	INCONSISTENT	no change
ENSG00000256843		INCONSISTENT	COMPLEX	complex->complex
ENSG00000256861		INCONSISTENT	INCONSISTENT	no change
ENSG00000256862	PARP11-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000256888	LINC02366	INCONSISTENT	INCONSISTENT	no change
ENSG00000256894		BIVALENT	BIVALENT	no change
