gene_id	mean_tpm	decile	is_switching
ENSG00000083454	0.435	1	True
ENSG00000083535	6.285	5	True
ENSG00000083544	2.325	4	True
ENSG00000083635	2.02	3	True
ENSG00000083750	4.975	5	True
ENSG00000083799	3.38	4	True
ENSG00000083814	0.335	1	True
ENSG00000083817	0.41500000000000004	1	True
ENSG00000083937	5.225	5	True
ENSG00000084092	1.715	3	True
ENSG00000084093	4.16	5	True
ENSG00000084112	0.315	1	True
ENSG00000084444	0.74	2	True
ENSG00000084731	0.45999999999999996	1	True
ENSG00000084734	0.17	0	True
ENSG00000084754	89.14500000000001	9	True
ENSG00000084764	0.7050000000000001	2	True
ENSG00000085117	0.215	0	True
ENSG00000085185	0.42500000000000004	1	True
ENSG00000085276	6.53	6	True
ENSG00000085382	2.965	4	True
ENSG00000085433	0.96	2	True
ENSG00000085491	5.065	5	True
ENSG00000085644	0.375	1	True
ENSG00000085733	8.78	6	True
ENSG00000085831	0.14500000000000002	0	True
ENSG00000085982	3.575	4	True
ENSG00000086065	67.23	9	True
ENSG00000086300	8.705	6	True
ENSG00000086506	13.704999999999998	7	True
ENSG00000086544	0.105	0	True
ENSG00000086619	1.31	3	True
ENSG00000087008	0.615	2	True
ENSG00000087253	1.905	3	True
ENSG00000087266	0.51	1	True
ENSG00000087274	15.165	7	True
ENSG00000087299	0.965	2	True
ENSG00000087301	1.03	2	True
ENSG00000087470	14.895	7	True
ENSG00000087589	5.955	5	True
ENSG00000087842	16.54	7	True
ENSG00000088035	19.075	7	True
ENSG00000088256	0.21999999999999997	0	True
ENSG00000088280	1.7200000000000002	3	True
ENSG00000088298	6.625	6	True
ENSG00000088305	7.895	6	True
ENSG00000088356	24.31	8	True
ENSG00000088727	41.305	8	True
ENSG00000088854	0.265	1	True
ENSG00000088876	0.955	2	True
ENSG00000088899	0.14	0	True
ENSG00000088970	3.6950000000000003	4	True
ENSG00000088992	0.685	2	True
ENSG00000089048	9.12	6	True
ENSG00000089050	0.525	1	True
ENSG00000089123	5.47	5	True
ENSG00000089159	3.81	5	True
ENSG00000089177	0.6699999999999999	2	True
ENSG00000089195	6.994999999999999	6	True
ENSG00000089327	96.11	9	True
ENSG00000089639	0.21500000000000002	0	True
ENSG00000089682	7.085	6	True
ENSG00000089775	0.345	1	True
ENSG00000090534	0.14	0	True
ENSG00000090554	0.14500000000000002	0	True
ENSG00000090565	0.275	1	True
ENSG00000090674	0.145	0	True
ENSG00000090932	0.5800000000000001	2	True
ENSG00000091136	6.865	6	True
ENSG00000091157	0.81	2	True
ENSG00000091490	8.225	6	True
ENSG00000091640	4.07	5	True
ENSG00000091656	2.07	3	True
ENSG00000092020	27.08	8	True
ENSG00000092199	447.445	9	True
ENSG00000092330	6.725	6	True
ENSG00000092445	1.7200000000000002	3	True
ENSG00000092607	2.0100000000000002	3	True
ENSG00000092621	5.109999999999999	5	True
ENSG00000092871	2.48	4	True
ENSG00000092931	11.215	7	True
ENSG00000092978	0.195	0	True
ENSG00000094841	5.045	5	True
ENSG00000095203	0.155	0	True
ENSG00000095303	3.075	4	True
ENSG00000095397	0.18	0	True
ENSG00000095539	1.54	3	True
ENSG00000095574	6.66	6	True
ENSG00000095596	0.14	0	True
ENSG00000095637	1.185	3	True
ENSG00000095739	1.415	3	True
ENSG00000096070	1.5950000000000002	3	True
ENSG00000096092	32.105000000000004	8	True
ENSG00000096093	12.74	7	True
ENSG00000096654	4.85	5	True
ENSG00000096717	5.404999999999999	5	True
ENSG00000096872	5.1	5	True
ENSG00000099256	13.01	7	True
ENSG00000099308	1.77	3	True
ENSG00000099326	0.9299999999999999	2	True
ENSG00000099385	1.025	2	True
ENSG00000099785	0.24	0	True
ENSG00000099889	0.11	0	True
ENSG00000099958	0.95	2	True
ENSG00000099992	0.115	0	True
ENSG00000100030	34.269999999999996	8	True
ENSG00000100031	0.81	2	True
ENSG00000100034	1.75	3	True
ENSG00000100065	0.19	0	True
ENSG00000100068	0.53	1	True
ENSG00000100077	0.87	2	True
ENSG00000100092	0.12000000000000001	0	True
ENSG00000100105	0.545	1	True
ENSG00000100116	2.245	4	True
ENSG00000100124	8.46	6	True
ENSG00000100150	1.775	3	True
ENSG00000100151	0.11000000000000001	0	True
ENSG00000100154	0.34	1	True
ENSG00000100206	4.525	5	True
ENSG00000100207	0.44499999999999995	1	True
ENSG00000100209	2.16	4	True
ENSG00000100211	11.135	6	True
ENSG00000100243	1.055	2	True
ENSG00000100246	0.34500000000000003	1	True
ENSG00000100263	0.20500000000000002	0	True
ENSG00000100300	3.79	5	True
ENSG00000100319	1.185	3	True
ENSG00000100320	5.25	5	True
ENSG00000100330	1.05	2	True
ENSG00000100342	2.71	4	True
ENSG00000100364	0.22999999999999998	0	True
ENSG00000100387	194.32999999999998	9	True
ENSG00000100422	0.745	2	True
ENSG00000100425	0.32999999999999996	1	True
ENSG00000100429	0.14500000000000002	0	True
ENSG00000100439	4.555	5	True
ENSG00000100441	0.865	2	True
ENSG00000100442	62.925	8	True
ENSG00000100445	8.43	6	True
ENSG00000100473	18.315	7	True
ENSG00000100478	4.0649999999999995	5	True
ENSG00000100483	2.125	4	True
ENSG00000100485	1.435	3	True
ENSG00000100503	0.7949999999999999	2	True
ENSG00000100504	2.98	4	True
ENSG00000100523	1.275	3	True
ENSG00000100532	10.94	6	True
ENSG00000100577	7.1899999999999995	6	True
ENSG00000100592	4.04	5	True
ENSG00000100600	0.105	0	True
ENSG00000100601	3.75	5	True
ENSG00000100625	0.7	2	True
ENSG00000100647	3.665	4	True
ENSG00000100731	0.22	0	True
ENSG00000100784	0.76	2	True
ENSG00000100852	2.475	4	True
ENSG00000100908	2.175	4	True
ENSG00000100916	0.875	2	True
ENSG00000100926	4.025	5	True
ENSG00000100934	4.41	5	True
ENSG00000100941	17.375	7	True
ENSG00000100994	0.265	1	True
ENSG00000100997	0.44	1	True
ENSG00000101017	0.825	2	True
ENSG00000101052	15.345	7	True
ENSG00000101096	3.0149999999999997	4	True
ENSG00000101104	4.275	5	True
ENSG00000101190	0.62	2	True
ENSG00000101210	0.435	1	True
ENSG00000101236	12.594999999999999	7	True
ENSG00000101290	6.795	6	True
ENSG00000101350	1.79	3	True
ENSG00000101363	11.0	6	True
ENSG00000101400	0.86	2	True
ENSG00000101412	0.11	0	True
ENSG00000101417	20.535	7	True
ENSG00000101444	66.575	9	True
ENSG00000101445	1.21	3	True
ENSG00000101474	3.86	5	True
ENSG00000101546	3.2750000000000004	4	True
ENSG00000101574	18.07	7	True
ENSG00000101670	0.93	2	True
ENSG00000101751	2.16	4	True
ENSG00000101752	4.635	5	True
ENSG00000101844	10.72	6	True
ENSG00000101882	1.8199999999999998	3	True
ENSG00000101888	19.115000000000002	7	True
ENSG00000101898	0.345	1	True
ENSG00000101928	11.29	7	True
ENSG00000101955	0.52	1	True
ENSG00000101966	3.56	4	True
ENSG00000102038	0.315	1	True
ENSG00000102043	2.035	3	True
ENSG00000102078	20.17	7	True
ENSG00000102098	11.545	7	True
ENSG00000102103	29.62	8	True
ENSG00000102125	0.275	1	True
ENSG00000102181	0.505	1	True
ENSG00000102218	1.17	3	True
ENSG00000102221	1.635	3	True
ENSG00000102241	11.395	7	True
ENSG00000102309	41.0	8	True
ENSG00000102312	0.15	0	True
ENSG00000102316	16.700000000000003	7	True
ENSG00000102362	1.175	3	True
ENSG00000102390	29.78	8	True
ENSG00000102401	2.19	4	True
ENSG00000102409	55.175	8	True
ENSG00000102471	16.68	7	True
ENSG00000102531	2.75	4	True
ENSG00000102543	9.745000000000001	6	True
ENSG00000102547	1.955	3	True
ENSG00000102595	2.99	4	True
ENSG00000102738	35.394999999999996	8	True
ENSG00000102780	0.36000000000000004	1	True
ENSG00000102781	1.87	3	True
ENSG00000102796	0.5	1	True
ENSG00000102805	3.225	4	True
ENSG00000102870	0.28500000000000003	1	True
ENSG00000102871	0.645	2	True
ENSG00000102879	0.2	0	True
ENSG00000102984	0.615	2	True
ENSG00000103037	6.0649999999999995	5	True
ENSG00000103042	1.68	3	True
ENSG00000103061	1.725	3	True
ENSG00000103066	0.37	1	True
ENSG00000103091	8.33	6	True
ENSG00000103145	1.62	3	True
ENSG00000103150	0.125	0	True
ENSG00000103160	8.735	6	True
ENSG00000103199	0.7	2	True
ENSG00000103260	0.23500000000000001	0	True
ENSG00000103343	3.9299999999999997	5	True
ENSG00000103351	6.005000000000001	5	True
ENSG00000103404	0.7749999999999999	2	True
ENSG00000103490	0.845	2	True
ENSG00000103494	3.99	5	True
ENSG00000103510	7.145	6	True
ENSG00000103540	2.395	4	True
ENSG00000103599	1.565	3	True
ENSG00000103642	2.36	4	True
ENSG00000103671	8.379999999999999	6	True
ENSG00000103707	0.89	2	True
ENSG00000103852	0.355	1	True
ENSG00000103966	0.685	2	True
ENSG00000104043	0.20500000000000002	0	True
ENSG00000104205	1.115	2	True
ENSG00000104218	7.895	6	True
ENSG00000104219	1.98	3	True
ENSG00000104231	91.22	9	True
ENSG00000104324	8.225	6	True
ENSG00000104331	2.42	4	True
ENSG00000104341	44.735	8	True
ENSG00000104343	10.14	6	True
ENSG00000104356	17.69	7	True
ENSG00000104375	6.555	6	True
ENSG00000104381	0.765	2	True
ENSG00000104427	1.895	3	True
ENSG00000104450	0.19	0	True
ENSG00000104490	1.71	3	True
ENSG00000104497	4.705	5	True
ENSG00000104524	0.41000000000000003	1	True
ENSG00000104643	2.23	4	True
ENSG00000104689	5.47	5	True
ENSG00000104756	16.225	7	True
ENSG00000104765	51.995000000000005	8	True
ENSG00000104783	0.465	1	True
ENSG00000104814	0.49	1	True
ENSG00000104825	1.0	2	True
ENSG00000104833	0.11	0	True
ENSG00000104881	0.43499999999999994	1	True
ENSG00000104894	5.484999999999999	5	True
ENSG00000104901	0.11499999999999999	0	True
ENSG00000104946	0.24	0	True
ENSG00000104953	1.175	3	True
ENSG00000104976	0.55	1	True
ENSG00000104998	1.165	3	True
ENSG00000105072	0.35	1	True
ENSG00000105136	0.12	0	True
ENSG00000105186	5.449999999999999	5	True
ENSG00000105245	0.435	1	True
ENSG00000105248	0.27	1	True
ENSG00000105290	0.7	2	True
ENSG00000105321	0.325	1	True
ENSG00000105327	0.185	0	True
ENSG00000105401	5.0	5	True
ENSG00000105404	4.32	5	True
ENSG00000105426	0.7849999999999999	2	True
ENSG00000105429	0.155	0	True
ENSG00000105438	4.08	5	True
ENSG00000105464	0.31	1	True
ENSG00000105483	11.775	7	True
ENSG00000105514	0.69	2	True
ENSG00000105516	0.255	1	True
ENSG00000105520	0.395	1	True
ENSG00000105538	0.14500000000000002	0	True
ENSG00000105610	6.71	6	True
ENSG00000105613	0.23	0	True
ENSG00000105617	0.18	0	True
ENSG00000105619	0.5700000000000001	2	True
ENSG00000105655	17.885	7	True
ENSG00000105656	0.53	1	True
ENSG00000105677	61.295	8	True
ENSG00000105698	0.24	0	True
ENSG00000105708	2.005	3	True
ENSG00000105750	0.34500000000000003	1	True
ENSG00000105792	0.19	0	True
ENSG00000105854	7.04	6	True
ENSG00000105875	1.52	3	True
ENSG00000105889	21.04	7	True
ENSG00000105928	0.38	1	True
ENSG00000105948	9.635	6	True
ENSG00000105976	0.795	2	True
ENSG00000105982	2.495	4	True
ENSG00000106012	0.375	1	True
ENSG00000106034	182.235	9	True
ENSG00000106066	1.775	3	True
ENSG00000106069	0.115	0	True
ENSG00000106077	4.895	5	True
ENSG00000106080	6.29	5	True
ENSG00000106086	2.08	3	True
ENSG00000106089	0.105	0	True
ENSG00000106100	0.40499999999999997	1	True
ENSG00000106123	1.475	3	True
ENSG00000106125	1.3399999999999999	3	True
ENSG00000106144	15.335	7	True
ENSG00000106246	0.335	1	True
ENSG00000106299	2.765	4	True
ENSG00000106330	1.105	2	True
ENSG00000106346	2.505	4	True
ENSG00000106348	0.6799999999999999	2	True
ENSG00000106351	0.195	0	True
ENSG00000106415	2.055	3	True
ENSG00000106477	10.22	6	True
ENSG00000106479	1.17	3	True
ENSG00000106484	0.25	0	True
ENSG00000106524	22.84	8	True
ENSG00000106537	5.385	5	True
ENSG00000106560	0.935	2	True
ENSG00000106615	20.884999999999998	7	True
ENSG00000106665	0.10500000000000001	0	True
ENSG00000106692	3.9350000000000005	5	True
ENSG00000106701	1.1	2	True
ENSG00000106733	0.845	2	True
ENSG00000106789	7.13	6	True
ENSG00000106799	35.63	8	True
ENSG00000106803	53.55	8	True
ENSG00000106829	0.76	2	True
ENSG00000106852	2.415	4	True
ENSG00000106948	0.225	0	True
ENSG00000106976	0.305	1	True
ENSG00000106993	1.0550000000000002	2	True
ENSG00000107020	8.275	6	True
ENSG00000107021	2.335	4	True
ENSG00000107104	0.17500000000000002	0	True
ENSG00000107130	0.255	1	True
ENSG00000107175	4.335	5	True
ENSG00000107185	0.42000000000000004	1	True
ENSG00000107201	0.235	0	True
ENSG00000107242	1.995	3	True
ENSG00000107262	6.27	5	True
ENSG00000107338	0.69	2	True
ENSG00000107443	0.43	1	True
ENSG00000107537	4.45	5	True
ENSG00000107554	0.5	1	True
ENSG00000107560	2.535	4	True
ENSG00000107566	6.1850000000000005	5	True
ENSG00000107614	5.4350000000000005	5	True
ENSG00000107669	1.9899999999999998	3	True
ENSG00000107679	0.185	0	True
ENSG00000107738	0.22000000000000003	0	True
ENSG00000107789	8.86	6	True
ENSG00000107819	0.125	0	True
ENSG00000107821	0.165	0	True
ENSG00000107829	0.875	2	True
ENSG00000107882	0.32	1	True
ENSG00000107890	1.5699999999999998	3	True
ENSG00000107897	1.26	3	True
ENSG00000107902	0.33499999999999996	1	True
ENSG00000107960	7.175000000000001	6	True
ENSG00000107968	11.379999999999999	7	True
ENSG00000108021	8.425	6	True
ENSG00000108175	1.125	2	True
ENSG00000108187	1.25	3	True
ENSG00000108239	2.38	4	True
ENSG00000108344	1.2	3	True
ENSG00000108352	0.185	0	True
ENSG00000108370	0.27	1	True
ENSG00000108375	0.285	1	True
ENSG00000108384	234.10500000000002	9	True
ENSG00000108405	0.44999999999999996	1	True
ENSG00000108515	5.050000000000001	5	True
ENSG00000108557	0.675	2	True
ENSG00000108590	28.805	8	True
ENSG00000108599	2.705	4	True
ENSG00000108622	30.015	8	True
ENSG00000108641	7.85	6	True
ENSG00000108666	31.52	8	True
ENSG00000108669	0.485	1	True
ENSG00000108733	3.075	4	True
ENSG00000108773	1.435	3	True
ENSG00000108786	0.37	1	True
ENSG00000108828	34.325	8	True
ENSG00000108854	2.795	4	True
ENSG00000108932	0.11	0	True
ENSG00000108960	2.1550000000000002	4	True
ENSG00000108961	41.66	8	True
ENSG00000109066	0.31	1	True
ENSG00000109083	8.125	6	True
ENSG00000109089	5.425	5	True
ENSG00000109103	0.39	1	True
ENSG00000109189	2.31	4	True
ENSG00000109220	0.775	2	True
ENSG00000109255	56.93	8	True
ENSG00000109320	1.755	3	True
ENSG00000109321	1.0699999999999998	2	True
ENSG00000109323	1.49	3	True
ENSG00000109339	0.11	0	True
ENSG00000109445	51.255	8	True
ENSG00000109458	0.855	2	True
ENSG00000109466	2.21	4	True
ENSG00000109618	2.635	4	True
ENSG00000109689	6.25	5	True
ENSG00000109771	0.32	1	True
ENSG00000109861	271.59000000000003	9	True
ENSG00000109881	4.375	5	True
ENSG00000110031	1.5150000000000001	3	True
ENSG00000110047	0.305	1	True
ENSG00000110060	26.4	8	True
ENSG00000110077	3.9	5	True
ENSG00000110171	0.355	1	True
ENSG00000110274	2.8049999999999997	4	True
ENSG00000110315	34.150000000000006	8	True
ENSG00000110324	0.16499999999999998	0	True
ENSG00000110442	82.95500000000001	9	True
ENSG00000110455	3.035	4	True
ENSG00000110492	17.125	7	True
ENSG00000110660	26.695	8	True
ENSG00000110696	271.52	9	True
ENSG00000110723	3.13	4	True
ENSG00000110756	7.42	6	True
ENSG00000110841	0.375	1	True
ENSG00000110844	0.355	1	True
ENSG00000110848	128.315	9	True
ENSG00000110852	3.95	5	True
ENSG00000110876	0.32	1	True
ENSG00000110925	1.385	3	True
ENSG00000110944	23.695	8	True
ENSG00000110975	0.15	0	True
ENSG00000110987	0.255	1	True
ENSG00000111012	0.14500000000000002	0	True
ENSG00000111057	18.375	7	True
ENSG00000111087	0.29	1	True
ENSG00000111110	5.3	5	True
ENSG00000111145	0.9450000000000001	2	True
ENSG00000111186	0.315	1	True
ENSG00000111196	135.635	9	True
