Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
gs_ind_0,Regulation Of BMP Signaling Pathway (GO:0030510),8/49,0.8086645995544408,0.9999999999998647,0.8002203252992688,0.16994361818982204,LEMD3;UBE2D1;TMEM53;BMPR2;SMURF2;SMAD7;FBXL15;SMURF1
gs_ind_0,Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010665),1/7,0.796950772203989,0.9999999999998647,0.9021719021719021,0.20475907168261248,CAMK2D
gs_ind_0,Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),3/14,0.5656020552601939,0.9999999999998647,1.1900961920772326,0.6781936079104792,CAMK2D;CTNNA3;RANGRF
gs_ind_0,Regulation Of Cardiac Muscle Cell Differentiation (GO:2000725),1/6,0.7450017490315044,0.9999999999998647,1.0662906117451572,0.31388259496961246,FRS2
gs_ind_0,Regulation Of Cardiac Muscle Contraction (GO:0055117),4/16,0.4164508921822029,0.9999999999998647,1.4080500722195475,1.233433178794374,RNF207;P2RX4;ZC3H12A;SMAD7
gs_ind_0,Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),1/11,0.9183821192811181,0.9999999999998647,0.5583041297327012,0.04753497558033882,CAMK2D
gs_ind_0,Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),1/9,0.8712616767850634,0.9999999999998647,0.689782983900631,0.09506100349519497,CAMK2D
gs_ind_0,Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),2/16,0.8669156603053907,0.9999999999998647,0.6738102480435805,0.09622925683039828,CAMK2D;P2RX4
gs_ind_0,Regulation Of Cardiac Muscle Hypertrophy In Response To Stress (GO:1903242),1/4,0.5978508540253882,0.9999999999998647,1.6758743901601045,0.8620931884147255,FOXO1
gs_ind_0,Regulation Of Cartilage Development (GO:0061035),1/8,0.8383192836348962,0.9999999999998647,0.7818181818181819,0.1378785183025454,BMPR2
gs_ind_0,Regulation Of Catabolic Process (GO:0009894),4/19,0.5607923727242765,0.9999999999998647,1.1352446922515416,0.656630688618161,CENATAC;CHMP6;WDR91;ZDHHC2
gs_ind_0,Regulation Of Catecholamine Secretion (GO:0050433),1/14,0.958804759543803,0.9999999999998647,0.43412965635187856,0.018262884928106907,SYT11
gs_ind_0,Regulation Of Cation Channel Activity (GO:2001257),6/28,0.5189030866690323,0.9999999999998647,1.129714683368128,0.7411359242854559,CAMK2D;CACNB3;VAMP2;CACNB1;CTSS;FGF11
gs_ind_0,Regulation Of Cell Activation (GO:0050865),2/5,0.27018544485746365,0.9999999999998647,2.7940199335548175,3.6563850298756777,SYK;TEC
gs_ind_0,Regulation Of Cell Adhesion (GO:0030155),18/92,0.616907101674043,0.9999999999998647,0.970670177993545,0.4688694466858383,LPXN;RND1;PTPRJ;PLXNA3;CYTH1;PLAUR;TMEM102;RASA1;SEMA4D;FES;ADAM22;ADAM8;ATXN3;DLL1;PPP3CA;ERBB2;CCL5;ZDHHC2
gs_ind_0,Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction (GO:0098909),2/4,0.18640155558523228,0.9999999999998647,3.9119486768243785,6.571494931304808,CAMK2D;RANGRF
gs_ind_0,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628),3/26,0.9225999915368105,0.9999999999998647,0.5818140235056375,0.04687065673583295,SYK;ADA;NCKAP1L
gs_ind_0,Regulation Of Cell Communication By Electrical Coupling (GO:0010649),1/5,0.6797672063173691,0.9999999999998647,1.3033509700176367,0.5030998387884896,CAMK2D
gs_ind_0,Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:1901844),1/6,0.7450017490315044,0.9999999999998647,1.0662906117451572,0.31388259496961246,CAMK2D
gs_ind_0,Regulation Of Cell Cycle (GO:0051726),36/244,0.9905923911537392,0.9999999999998647,0.6806814642335102,0.006433896431092096,SGF29;TFPT;PER2;ZBTB49;USP51;PIM3;TRIM21;TBRG1;MAP2K6;TP53;THAP1;KAT14;CYLD;EVI2B;PLAGL1;NUDT6;DCUN1D3;KAT2B;ING4;INO80B;PTPRC;INO80C;CDK11B;TMEM8B;TP53INP1;NANOS3;INO80D;RNF20;RB1;SIRT1;GADD45B;TRIM32;DYNLT3;GRK5;MBIP;MBTD1
gs_ind_0,Regulation Of Cell Cycle Checkpoint (GO:1901976),2/11,0.6886104060141844,0.9999999999998647,1.028869286287089,0.38385015860250277,ETAA1;BRCA2
gs_ind_0,Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),7/59,0.9699537374253204,0.9999999999998647,0.5574526678141136,0.0170061539055467,PTPN6;E2F1;PAGR1;STXBP4;PEX2;BCL7C;APPL1
