gene_id	gate_type	complexity_score	gene_id_clean	gene_name
ENSG00000145242	REPRESSED	1.0	ENSG00000145242	EPHA5
ENSG00000145244	INCONSISTENT	1.0	ENSG00000145244	CORIN
ENSG00000145246	SIMPLE_AND	1.0	ENSG00000145246	ATP10D
ENSG00000145247	SIMPLE_AND	1.0	ENSG00000145247	OCIAD2
ENSG00000145248	REPRESSED	1.0	ENSG00000145248	SLC10A4
ENSG00000145283	NULL	-1.0	ENSG00000145283	SLC10A6
ENSG00000145284	SIMPLE_OR	0.0	ENSG00000145284	SCD5
ENSG00000145287	SIMPLE_OR	0.0	ENSG00000145287	PLAC8
ENSG00000145293	SIMPLE_AND	1.0	ENSG00000145293	ENOPH1
ENSG00000145309	NULL	-1.0	ENSG00000145309	CABS1
ENSG00000145321	NULL	-1.0	ENSG00000145321	GC
ENSG00000145331	SIMPLE_AND	1.0	ENSG00000145331	TRMT10A
ENSG00000145332	NULL	-1.0	ENSG00000145332	KLHL8
ENSG00000145335	REPRESSED	1.0	ENSG00000145335	SNCA
ENSG00000145337	SIMPLE_AND	1.0	ENSG00000145337	PYURF
ENSG00000145348	SIMPLE_AND	1.0	ENSG00000145348	TBCK
ENSG00000145349	SIMPLE_AND	1.0	ENSG00000145349	CAMK2D
ENSG00000145354	SIMPLE_AND	1.0	ENSG00000145354	CISD2
ENSG00000145358	REPRESSED	3.0	ENSG00000145358	DDIT4L
ENSG00000145362	SIMPLE_AND	1.0	ENSG00000145362	ANK2
ENSG00000145365	SIMPLE_AND	1.0	ENSG00000145365	TIFA
ENSG00000145375	SIMPLE_AND	1.0	ENSG00000145375	AFG2A
ENSG00000145384	NULL	-1.0	ENSG00000145384	FABP2
ENSG00000145386	SIMPLE_AND	1.0	ENSG00000145386	CCNA2
ENSG00000145388	SIMPLE_AND	1.0	ENSG00000145388	METTL14
ENSG00000145390	SIMPLE_AND	1.0	ENSG00000145390	USP53
ENSG00000145391	NULL	-1.0	ENSG00000145391	SETD7
ENSG00000145414	SIMPLE_AND	1.0	ENSG00000145414	NAF1
ENSG00000145416	REPRESSED	1.0	ENSG00000145416	MARCHF1
ENSG00000145423	REPRESSED	1.0	ENSG00000145423	SFRP2
ENSG00000145425	SIMPLE_AND	1.0	ENSG00000145425	RPS3A
ENSG00000145428	REPRESSED	1.0	ENSG00000145428	RNF175
ENSG00000145431	REPRESSED	1.0	ENSG00000145431	PDGFC
ENSG00000145439	SIMPLE_AND	1.0	ENSG00000145439	CBR4
ENSG00000145451	INCONSISTENT	1.0	ENSG00000145451	GLRA3
ENSG00000145476	INCONSISTENT	2.0	ENSG00000145476	CYP4V2
ENSG00000145491	BIVALENT	4.0	ENSG00000145491	ROPN1L
ENSG00000145494	SIMPLE_AND	1.0	ENSG00000145494	NDUFS6
ENSG00000145495	SIMPLE_AND	1.0	ENSG00000145495	MARCHF6
ENSG00000145506	REPRESSED	1.0	ENSG00000145506	NKD2
ENSG00000145526	NULL	-1.0	ENSG00000145526	CDH18
ENSG00000145536	REPRESSED	1.0	ENSG00000145536	ADAMTS16
ENSG00000145545	SIMPLE_AND	1.0	ENSG00000145545	SRD5A1
ENSG00000145555	BIVALENT	4.0	ENSG00000145555	MYO10
ENSG00000145569	BIVALENT	4.0	ENSG00000145569	OTULINL
ENSG00000145592	SIMPLE_AND	1.0	ENSG00000145592	RPL37
ENSG00000145604	SIMPLE_AND	1.0	ENSG00000145604	SKP2
ENSG00000145623	NULL	-1.0	ENSG00000145623	OSMR
ENSG00000145626	NULL	-1.0	ENSG00000145626	UGT3A1
