gene_id	gate_type_gm12878	gate_type_k562	and_origin
ENSG00000028277	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000029153	SIMPLE_AND	BIVALENT	GM12878
ENSG00000029534	NULL	BIVALENT	NEITHER
ENSG00000029993	SIMPLE_OR	NULL	NEITHER
ENSG00000030419	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000031081	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000031691	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000032219	COMPLEX	INCONSISTENT	NEITHER
ENSG00000032742	SIMPLE_AND	COMPLEX	GM12878
ENSG00000033011	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000033122	NULL	INCONSISTENT	NEITHER
ENSG00000033170	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000033327	COMPLEX	INCONSISTENT	NEITHER
ENSG00000034053	NULL	SIMPLE_AND	K562
ENSG00000034152	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000034239	REPRESSED	NULL	NEITHER
ENSG00000034533	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000034677	NULL	REPRESSED	NEITHER
ENSG00000034971	NULL	REPRESSED	NEITHER
ENSG00000035115	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000035403	NULL	SIMPLE_OR	NEITHER
ENSG00000035664	NULL	INCONSISTENT	NEITHER
ENSG00000035687	SIMPLE_AND	COMPLEX	GM12878
ENSG00000035720	SIMPLE_OR	NULL	NEITHER
ENSG00000035862	REPRESSED	NULL	NEITHER
ENSG00000036448	NULL	REPRESSED	NEITHER
ENSG00000036530	BIVALENT	INCONSISTENT	NEITHER
ENSG00000036672	BIVALENT	INCONSISTENT	NEITHER
ENSG00000036828	BIVALENT	NULL	NEITHER
ENSG00000037042	SIMPLE_AND	NULL	GM12878
ENSG00000037280	NULL	BIVALENT	NEITHER
ENSG00000037965	REPRESSED	INCONSISTENT	NEITHER
