gene_id,gene_name,gm12878_detected,k562_detected,detected_in_both,in_current_background
ENSG00000007944,MYLIP,True,True,True,True
ENSG00000007952,NOX1,False,False,False,True
ENSG00000007968,E2F2,True,True,True,True
ENSG00000008018,PSMB1,True,True,True,True
ENSG00000008056,SYN1,True,True,True,True
ENSG00000008083,JARID2,True,True,True,True
ENSG00000008086,CDKL5,True,True,True,True
ENSG00000008118,CAMK1G,False,True,False,True
ENSG00000008128,CDK11A,True,True,True,True
ENSG00000008130,NADK,True,True,True,True
ENSG00000008196,TFAP2B,True,False,False,True
ENSG00000008197,TFAP2D,True,False,False,True
ENSG00000008226,DLEC1,True,True,True,True
ENSG00000008256,CYTH3,True,True,True,True
ENSG00000008277,ADAM22,True,True,True,True
ENSG00000008282,SYPL1,True,True,True,True
ENSG00000008283,CYB561,True,True,True,True
ENSG00000008294,SPAG9,True,True,True,True
ENSG00000008300,CELSR3,True,True,True,True
ENSG00000008311,AASS,True,True,True,True
ENSG00000008323,PLEKHG6,True,True,True,True
ENSG00000008324,SS18L2,True,True,True,True
ENSG00000008382,MPND,True,True,True,True
ENSG00000008394,MGST1,True,True,True,True
ENSG00000008405,CRY1,True,True,True,True
ENSG00000008438,PGLYRP1,False,False,False,True
ENSG00000008441,NFIX,True,True,True,True
ENSG00000008513,ST3GAL1,True,True,True,True
ENSG00000008516,MMP25,True,True,True,True
ENSG00000008517,IL32,True,False,False,True
ENSG00000008710,PKD1,True,True,True,True
ENSG00000008735,MAPK8IP2,False,True,False,True
ENSG00000008838,MED24,True,True,True,True
ENSG00000008853,RHOBTB2,False,True,False,True
ENSG00000008869,HEATR5B,True,True,True,True
ENSG00000008952,SEC62,True,True,True,True
ENSG00000008988,RPS20,True,True,True,True
ENSG00000009307,CSDE1,True,True,True,True
ENSG00000009335,UBE3C,True,True,True,True
ENSG00000009413,REV3L,True,True,True,True
ENSG00000009694,TENM1,False,False,False,True
ENSG00000009709,PAX7,True,True,True,True
ENSG00000009724,MASP2,False,False,False,True
ENSG00000009765,IYD,False,False,False,True
ENSG00000009780,FAM76A,True,True,True,True
ENSG00000009790,TRAF3IP3,True,False,False,True
ENSG00000009830,POMT2,True,True,True,True
ENSG00000009844,VTA1,True,True,True,True
ENSG00000009950,MLXIPL,False,True,False,True
ENSG00000009954,BAZ1B,True,True,True,True
ENSG00000010017,RANBP9,True,True,True,True
ENSG00000010030,ETV7,True,True,True,True
ENSG00000010072,SPRTN,True,True,True,True
ENSG00000010165,METTL13,True,True,True,True
ENSG00000010219,DYRK4,False,True,False,True
ENSG00000010244,ZNF207,True,True,True,True
ENSG00000010256,UQCRC1,True,True,True,True
ENSG00000010270,STARD3NL,True,True,True,True
ENSG00000010278,CD9,True,True,True,True
ENSG00000010282,HHATL,False,True,False,True
ENSG00000010292,NCAPD2,True,True,True,True
ENSG00000010295,IFFO1,True,False,False,True
ENSG00000010310,GIPR,True,True,True,True
ENSG00000010318,PHF7,True,True,True,True
ENSG00000010319,SEMA3G,False,False,False,True
ENSG00000010322,NISCH,True,True,True,True
ENSG00000010327,STAB1,False,False,False,True
ENSG00000010361,FUZ,True,True,True,True
ENSG00000010379,SLC6A13,False,True,False,True
ENSG00000010404,IDS,False,False,False,True
ENSG00000010438,PRSS3,True,False,False,True
ENSG00000010539,ZNF200,True,True,True,True
ENSG00000010610,CD4,False,False,False,True
ENSG00000010626,LRRC23,True,True,True,True
ENSG00000010671,BTK,True,True,True,True
ENSG00000010704,HFE,True,True,True,True
ENSG00000010803,SCMH1,True,True,True,True
ENSG00000010810,FYN,True,True,True,True
ENSG00000010818,HIVEP2,False,False,False,True
ENSG00000010932,FMO1,True,False,False,True
ENSG00000011007,ELOA,True,True,True,True
ENSG00000011009,LYPLA2,True,True,True,True
ENSG00000011021,CLCN6,True,True,True,True
ENSG00000011028,MRC2,True,True,True,True
ENSG00000011052,NME1-NME2,True,True,True,True
ENSG00000011083,SLC6A7,False,True,False,True
ENSG00000011105,TSPAN9,True,True,True,True
ENSG00000011114,BTBD7,True,True,True,True
ENSG00000011132,APBA3,True,True,True,True
ENSG00000011143,MKS1,True,True,True,True
ENSG00000011198,ABHD5,True,True,True,True
ENSG00000011201,ANOS1,True,False,False,True
ENSG00000011243,AKAP8L,True,True,True,True
ENSG00000011258,MBTD1,True,True,True,True
ENSG00000011260,UTP18,True,True,True,True
ENSG00000011275,RNF216,True,True,True,True
ENSG00000011295,TTC19,True,True,True,True
ENSG00000011304,PTBP1,True,True,True,True
ENSG00000011332,DPF1,True,True,True,True
ENSG00000011347,SYT7,True,True,True,True
ENSG00000011376,LARS2,True,True,True,True
ENSG00000011405,PIK3C2A,True,True,True,True
ENSG00000011422,PLAUR,True,True,True,True
ENSG00000011426,ANLN,True,True,True,True
ENSG00000011451,WIZ,True,True,True,True
ENSG00000011454,RABGAP1,True,True,True,True
ENSG00000011465,DCN,False,False,False,True
ENSG00000011478,QPCTL,True,True,True,True
ENSG00000011485,PPP5C,True,True,True,True
ENSG00000011523,CEP68,True,True,True,True
ENSG00000011566,MAP4K3,True,True,True,True
ENSG00000011590,ZBTB32,True,True,True,True
ENSG00000011600,TYROBP,True,True,True,True
ENSG00000011638,LDAF1,True,True,True,True
ENSG00000011677,GABRA3,False,False,False,True
ENSG00000012048,BRCA1,True,True,True,True
ENSG00000012061,ERCC1,True,True,True,True
ENSG00000012124,CD22,False,True,False,True
ENSG00000012171,SEMA3B,True,False,False,True
ENSG00000012174,MBTPS2,True,True,True,True
ENSG00000012211,PRICKLE3,True,True,True,True
ENSG00000012223,LTF,True,False,False,True
ENSG00000012232,EXTL3,False,False,False,True
ENSG00000012504,NR1H4,False,False,False,True
ENSG00000012660,ELOVL5,True,True,True,True
ENSG00000012779,ALOX5,True,True,True,True
ENSG00000012817,KDM5D,False,False,False,True
ENSG00000012822,CALCOCO1,True,True,True,True
ENSG00000012963,UBR7,True,True,True,True
ENSG00000012983,MAP4K5,True,True,True,True
ENSG00000013016,EHD3,True,True,True,True
ENSG00000013275,PSMC4,True,True,True,True
ENSG00000013288,MAN2B2,True,True,True,True
ENSG00000013293,SLC7A14,True,False,False,True
ENSG00000013297,CLDN11,True,False,False,True
ENSG00000013306,SLC25A39,True,True,True,True
ENSG00000013364,MVP,True,True,True,True
ENSG00000013374,NUB1,True,True,True,True
ENSG00000013375,PGM3,True,True,True,True
ENSG00000013392,RWDD2A,True,True,True,True
ENSG00000013441,CLK1,True,True,True,True
ENSG00000013503,POLR3B,True,True,True,True
ENSG00000013523,ANGEL1,False,True,False,True
ENSG00000013561,RNF14,False,False,False,True
ENSG00000013563,DNASE1L1,True,True,True,True
ENSG00000013573,DDX11,True,True,True,True
ENSG00000013583,HEBP1,True,True,True,True
ENSG00000013588,GPRC5A,True,True,True,True
ENSG00000013619,MAMLD1,False,True,False,True
ENSG00000013725,CD6,False,False,False,True
ENSG00000013810,TACC3,True,True,True,True
ENSG00000014123,UFL1,True,True,True,True
ENSG00000014138,POLA2,True,True,True,True
ENSG00000014164,ZC3H3,True,True,True,True
ENSG00000014216,CAPN1,True,True,True,True
ENSG00000014257,ACP3,False,False,False,True
ENSG00000014641,MDH1,True,True,True,True
ENSG00000014824,SLC30A9,True,True,True,True
ENSG00000014914,MTMR11,False,True,False,True
ENSG00000014919,COX15,True,True,True,True
ENSG00000015133,CCDC88C,True,True,True,True
ENSG00000015153,YAF2,True,True,True,True
ENSG00000015171,ZMYND11,False,True,False,True
ENSG00000015285,WAS,True,True,True,True
ENSG00000015413,DPEP1,False,False,False,True
ENSG00000015475,BID,True,True,True,True
ENSG00000015479,MATR3,True,True,True,True
ENSG00000015520,NPC1L1,False,False,False,True
ENSG00000015532,XYLT2,True,True,True,True
ENSG00000015568,RGPD5,False,False,False,True
ENSG00000015592,STMN4,False,False,False,True
ENSG00000015676,NUDCD3,True,True,True,True
ENSG00000016082,ISL1,True,False,False,True
ENSG00000016391,CHDH,True,True,True,True
ENSG00000016402,IL20RA,True,False,False,True
ENSG00000016490,CLCA1,False,False,False,True
ENSG00000016602,CLCA4,False,False,False,True
ENSG00000016864,GLT8D1,True,True,True,True
ENSG00000017260,ATP2C1,True,True,True,True
ENSG00000017427,IGF1,True,True,True,True
ENSG00000017483,SLC38A5,True,True,True,True
ENSG00000017797,RALBP1,True,True,True,True
ENSG00000018189,RUFY3,True,True,True,True
ENSG00000018236,CNTN1,True,False,False,True
ENSG00000018280,SLC11A1,False,False,False,True
ENSG00000018408,WWTR1,False,False,False,True
ENSG00000018510,AGPS,True,True,True,True
ENSG00000018607,ZNF285CP,False,False,False,True
ENSG00000018610,STEEP1,True,True,True,True
ENSG00000018625,ATP1A2,True,True,True,True
ENSG00000018699,TTC27,True,True,True,True
ENSG00000018869,ZNF582,True,True,True,True
ENSG00000019102,VSIG2,False,False,False,True
ENSG00000019144,PHLDB1,True,True,True,True
ENSG00000019169,MARCO,True,True,True,True
