gene_id,mean_tpm,is_switching,in_zero_stratum
ENSG00000025039,0.005,True,True
ENSG00000025156,17.415,False,False
ENSG00000025293,123.825,False,False
ENSG00000025423,0.4,False,False
ENSG00000025434,7.140000000000001,True,False
ENSG00000025770,2.945,False,False
ENSG00000025772,13.09,False,False
ENSG00000025796,15.96,False,False
ENSG00000025800,20.795,False,False
ENSG00000026025,59.93000000000001,False,False
ENSG00000026036,0.0,True,True
ENSG00000026297,5.925000000000001,False,False
ENSG00000026508,1.0,True,False
ENSG00000026559,0.005,True,True
ENSG00000026652,1.865,True,False
ENSG00000026950,0.505,True,False
ENSG00000027001,1.4449999999999998,True,False
ENSG00000027075,0.585,True,False
ENSG00000027644,0.0,True,True
ENSG00000027697,29.535,True,False
ENSG00000027847,0.29000000000000004,True,False
ENSG00000027869,0.6950000000000001,False,False
ENSG00000028137,6.605,False,False
ENSG00000028203,9.575,False,False
ENSG00000028277,0.025,True,True
ENSG00000028310,1.69,False,False
ENSG00000028528,7.805,False,False
ENSG00000028839,79.35,False,False
ENSG00000029153,0.045,True,True
ENSG00000029363,39.365,False,False
ENSG00000029364,13.59,False,False
ENSG00000029639,99.38,False,False
ENSG00000029725,5.26,False,False
ENSG00000030066,26.41,False,False
ENSG00000030110,4.2,False,False
ENSG00000030419,0.035,True,True
ENSG00000030582,3.325,False,False
ENSG00000031081,0.005,True,True
ENSG00000031691,30.06,True,False
ENSG00000031698,224.035,False,False
ENSG00000031823,1.215,False,False
ENSG00000032219,1.725,True,False
ENSG00000032389,14.754999999999999,False,False
ENSG00000032444,0.095,False,True
ENSG00000032742,5.495,True,False
ENSG00000033011,0.885,True,False
ENSG00000033030,8.76,False,False
ENSG00000033050,65.925,False,False
ENSG00000033100,0.125,False,False
ENSG00000033170,4.3100000000000005,True,False
ENSG00000033178,19.380000000000003,False,False
ENSG00000033327,3.7,True,False
ENSG00000033627,8.13,False,False
ENSG00000033800,13.585,False,False
ENSG00000033867,1.33,False,False
ENSG00000034152,0.115,True,False
ENSG00000034510,455.135,False,False
ENSG00000034533,5.915,True,False
ENSG00000034693,43.730000000000004,False,False
ENSG00000034713,204.75,False,False
ENSG00000035115,3.33,True,False
ENSG00000035141,85.495,False,False
ENSG00000035499,29.23,False,False
ENSG00000035681,18.015,False,False
ENSG00000035687,7.035,True,False
ENSG00000035928,16.715,False,False
ENSG00000036054,26.465,False,False
ENSG00000036257,20.775,False,False
ENSG00000036530,0.0,True,True
ENSG00000036549,9.535,False,False
ENSG00000036672,3.6999999999999997,True,False
ENSG00000037241,232.045,False,False
ENSG00000037474,6.3149999999999995,False,False
ENSG00000037637,5.32,False,False
ENSG00000037749,5.235,False,False
ENSG00000037757,4.195,False,False
ENSG00000037897,39.095,False,False
ENSG00000037965,0.17,True,False
ENSG00000038002,11.315000000000001,True,False
ENSG00000038210,2.98,True,False
ENSG00000038219,4.015000000000001,False,False
ENSG00000038274,37.025000000000006,False,False
ENSG00000038358,1.505,False,False
ENSG00000038382,0.29500000000000004,True,False
ENSG00000038427,0.005,False,True
ENSG00000038532,0.72,False,False
ENSG00000039123,32.855000000000004,False,False
ENSG00000039139,0.0,False,True
ENSG00000039319,4.295,True,False
ENSG00000039560,7.3,True,False
ENSG00000039650,2.2350000000000003,False,False
ENSG00000040199,0.675,True,False
ENSG00000040275,20.85,False,False
ENSG00000040341,12.48,False,False
ENSG00000040487,0.88,False,False
ENSG00000040531,0.43999999999999995,True,False
ENSG00000040633,5.37,False,False
ENSG00000040933,1.1800000000000002,False,False
ENSG00000041357,1219.78,False,False
ENSG00000041802,10.024999999999999,False,False
ENSG00000041880,0.42500000000000004,True,False
ENSG00000041988,1.71,True,False
ENSG00000042088,17.765,False,False
ENSG00000042286,2.13,True,False
ENSG00000042317,0.58,True,False
ENSG00000042429,4.465,False,False
ENSG00000042445,1.445,False,False
ENSG00000042493,7.935,False,False
ENSG00000042753,24.369999999999997,False,False
ENSG00000042832,0.0,False,True
ENSG00000043143,0.33999999999999997,False,False
ENSG00000043355,7.0649999999999995,True,False
ENSG00000043462,3.56,False,False
ENSG00000043514,19.61,False,False
ENSG00000043591,0.055,True,True
ENSG00000044090,0.405,False,False
ENSG00000044446,1.92,False,False
ENSG00000044574,33.025000000000006,False,False
ENSG00000046604,10.355,False,False
ENSG00000046647,13.370000000000001,True,False
ENSG00000046651,31.534999999999997,True,False
ENSG00000046653,0.2,True,False
ENSG00000046889,0.015,False,True
ENSG00000047056,1.205,False,False
ENSG00000047188,1.625,True,False
ENSG00000047230,3.74,False,False
ENSG00000047249,17.45,False,False
ENSG00000047315,37.465,True,False
ENSG00000047346,1.6800000000000002,True,False
ENSG00000047365,0.0,True,True
ENSG00000047410,34.69,False,False
ENSG00000047578,0.915,True,False
ENSG00000047579,14.754999999999999,False,False
ENSG00000047597,2.7750000000000004,True,False
ENSG00000047621,6.050000000000001,False,False
ENSG00000047644,0.085,True,True
ENSG00000047648,8.705,True,False
ENSG00000047849,16.305,False,False
ENSG00000047932,6.02,False,False
ENSG00000048028,2.365,False,False
ENSG00000048140,0.63,False,False
ENSG00000048162,166.305,False,False
ENSG00000048392,4.455,True,False
ENSG00000048462,0.0,True,True
ENSG00000048471,3.425,True,False
ENSG00000048544,90.755,False,False
ENSG00000048649,6.5600000000000005,False,False
ENSG00000048707,5.63,False,False
ENSG00000048828,5.745,False,False
ENSG00000048991,8.815000000000001,False,False
ENSG00000049130,0.015,True,True
ENSG00000049167,30.064999999999998,False,False
ENSG00000049192,0.28,True,False
ENSG00000049239,0.06,True,True
ENSG00000049245,18.375,False,False
ENSG00000049246,8.14,True,False
ENSG00000049249,0.07,True,True
ENSG00000049283,0.005,False,True
ENSG00000049323,2.77,True,False
ENSG00000049449,1.19,True,False
ENSG00000049540,0.0,False,True
ENSG00000049541,23.395,False,False
ENSG00000049618,16.74,False,False
ENSG00000049656,2.665,False,False
ENSG00000049759,6.355,False,False
ENSG00000049769,0.01,True,True
ENSG00000049860,17.630000000000003,True,False
ENSG00000049883,12.74,True,False
ENSG00000050130,80.145,False,False
ENSG00000050165,0.0,True,True
ENSG00000050344,2.39,True,False
ENSG00000050393,3.94,False,False
ENSG00000050405,11.32,True,False
ENSG00000050426,42.385,False,False
ENSG00000050438,0.0,True,True
ENSG00000050628,2.9,True,False
ENSG00000050748,3.925,False,False
ENSG00000050767,0.0,True,True
ENSG00000050820,0.065,True,True
ENSG00000051009,0.885,False,False
ENSG00000051108,9.774999999999999,False,False
ENSG00000051128,0.0,True,True
ENSG00000051180,10.825,False,False
ENSG00000051341,1.1099999999999999,False,False
ENSG00000051382,10.23,False,False
ENSG00000051523,0.21,False,False
ENSG00000051620,6.2,True,False
ENSG00000052126,4.495,True,False
ENSG00000052723,21.47,False,False
ENSG00000052749,4.01,False,False
ENSG00000052795,1.7149999999999999,False,False
ENSG00000052802,51.599999999999994,False,False
ENSG00000052841,12.435,False,False
ENSG00000052850,0.065,True,True
ENSG00000053254,0.20500000000000002,True,False
ENSG00000053328,0.0,False,True
ENSG00000053371,1.45,False,False
ENSG00000053372,48.855,False,False
ENSG00000053501,31.125,False,False
ENSG00000053524,0.5,True,False
ENSG00000053770,28.08,False,False
ENSG00000053900,14.085,False,False
ENSG00000053918,0.0,True,True
ENSG00000054116,16.25,False,False
ENSG00000054118,83.025,False,False
ENSG00000054148,103.995,False,False
ENSG00000054179,0.015,True,True
ENSG00000054219,0.005,True,True
ENSG00000054267,6.505,False,False
ENSG00000054282,14.6,False,False
ENSG00000054392,0.045,True,True
ENSG00000054523,2.15,False,False
ENSG00000054598,0.0,False,True
ENSG00000054611,0.19,True,False
ENSG00000054690,0.37,True,False
ENSG00000054938,0.0,False,True
ENSG00000054965,0.345,True,False
ENSG00000054967,0.73,True,False
ENSG00000054983,1.415,True,False
ENSG00000055044,186.32,False,False
ENSG00000055070,3.175,False,False
ENSG00000055118,14.54,True,False
ENSG00000055130,20.384999999999998,False,False
ENSG00000055147,8.735,False,False
ENSG00000055163,0.92,True,False
ENSG00000055211,3.085,True,False
ENSG00000055332,3.67,False,False
ENSG00000055483,4.994999999999999,False,False
ENSG00000055609,7.76,False,False
ENSG00000055732,0.0,True,True
ENSG00000055813,0.005,False,True
ENSG00000055917,8.49,False,False
ENSG00000055950,14.685,False,False
ENSG00000056050,24.729999999999997,True,False
ENSG00000056097,23.905,False,False
ENSG00000056277,1.1,True,False
ENSG00000056487,0.0,False,True
ENSG00000056586,6.0649999999999995,False,False
ENSG00000056736,0.78,True,False
ENSG00000056972,5.654999999999999,False,False
ENSG00000057019,2.935,True,False
ENSG00000057252,6.545,False,False
ENSG00000057294,1.095,True,False
ENSG00000057657,0.16499999999999998,True,False
ENSG00000057663,20.615000000000002,False,False
ENSG00000057704,0.0,True,True
ENSG00000057757,34.69499999999999,False,False
ENSG00000057935,11.065,True,False
ENSG00000058056,0.11000000000000001,True,False
ENSG00000058063,7.595,False,False
ENSG00000058262,1.6,False,False
ENSG00000058272,27.96,False,False
ENSG00000058600,10.829999999999998,False,False
ENSG00000058668,6.529999999999999,False,False
ENSG00000058673,20.59,True,False
ENSG00000058729,53.61,False,False
ENSG00000058799,6.96,False,False
ENSG00000058804,19.310000000000002,False,False
ENSG00000059122,0.195,True,False
ENSG00000059145,0.33,True,False
ENSG00000059377,0.95,True,False
ENSG00000059378,3.3,True,False
ENSG00000059573,8.57,False,False
ENSG00000059588,6.89,False,False
ENSG00000059691,12.7,False,False
ENSG00000059758,3.46,False,False
ENSG00000059769,2.9749999999999996,True,False
ENSG00000059804,56.239999999999995,False,False
ENSG00000059915,0.005,False,True
ENSG00000060069,0.04,True,True
ENSG00000060138,30.745,False,False
ENSG00000060140,0.36,True,False
ENSG00000060237,7.51,False,False
ENSG00000060339,27.28,False,False
ENSG00000060491,0.27,False,False
ENSG00000060558,0.0,True,True
ENSG00000060642,7.545,True,False
ENSG00000060656,0.01,False,True
ENSG00000060688,35.04,False,False
ENSG00000060749,4.375,False,False
ENSG00000060762,103.405,False,False
ENSG00000060971,3.25,False,False
ENSG00000060982,30.045,False,False
ENSG00000061273,1.8050000000000002,True,False
ENSG00000061337,0.0,True,True
ENSG00000061455,0.0,False,True
ENSG00000061492,0.0,True,True
ENSG00000061656,1.63,True,False
ENSG00000061676,22.195,True,False
ENSG00000061794,116.6,False,False
ENSG00000061936,1.535,True,False
ENSG00000061938,0.125,False,False
ENSG00000061987,2.4,False,False
ENSG00000062194,20.78,False,False
ENSG00000062485,63.065,False,False
ENSG00000062524,0.16999999999999998,True,False
ENSG00000062582,38.625,False,False
ENSG00000062598,5.63,False,False
ENSG00000062650,12.465,False,False
ENSG00000062716,174.04000000000002,False,False
ENSG00000062725,1.9,False,False
ENSG00000062822,1.2,False,False
ENSG00000063015,0.0,False,True
ENSG00000063046,85.28,False,False
ENSG00000063169,0.035,True,True
ENSG00000063176,0.08,True,True
ENSG00000063177,238.04000000000002,False,False
ENSG00000063180,6.550000000000001,False,False
ENSG00000063241,1.04,False,False
ENSG00000063244,2.1950000000000003,False,False
ENSG00000063245,0.095,False,True
ENSG00000063322,1.26,True,False
ENSG00000063438,0.0,True,True
ENSG00000063515,0.0,False,True
ENSG00000063587,1.325,False,False
ENSG00000063601,0.655,False,False
ENSG00000063660,0.0,True,True
ENSG00000063761,2.87,True,False
ENSG00000063854,0.28500000000000003,False,False
ENSG00000063978,14.765,False,False
ENSG00000064012,6.3149999999999995,False,False
ENSG00000064042,0.0,False,True
ENSG00000064102,32.165,False,False
ENSG00000064115,7.125,False,False
ENSG00000064195,0.0,False,True
ENSG00000064199,5.795,False,False
ENSG00000064225,0.085,True,True
ENSG00000064300,0.0,False,True
ENSG00000064309,0.060000000000000005,False,True
ENSG00000064313,6.15,False,False
ENSG00000064393,1.0499999999999998,False,False
ENSG00000064419,20.34,False,False
ENSG00000064489,0.015,True,True
ENSG00000064490,81.44,False,False
ENSG00000064545,0.7999999999999999,False,False
ENSG00000064601,7.265000000000001,False,False
ENSG00000064607,8.934999999999999,False,False
ENSG00000064651,3.59,False,False
ENSG00000064652,5.3149999999999995,False,False
ENSG00000064655,0.02,False,True
ENSG00000064666,8.895,False,False
ENSG00000064687,1.8,False,False
ENSG00000064692,0.0,True,True
ENSG00000064703,5.630000000000001,False,False
ENSG00000064726,13.03,False,False
ENSG00000064763,5.4,False,False
ENSG00000064932,0.02,False,True
ENSG00000064933,10.655,True,False
ENSG00000064961,0.33999999999999997,False,False
ENSG00000064995,27.025,False,False
ENSG00000064999,0.815,True,False
ENSG00000065000,0.905,False,False
ENSG00000065029,0.7849999999999999,True,False
ENSG00000065054,0.14,True,False
ENSG00000065057,1.04,False,False
ENSG00000065060,4.135,False,False
ENSG00000065135,4.765000000000001,True,False
ENSG00000065154,187.88,True,False
ENSG00000065183,32.31,False,False
ENSG00000065243,2.5949999999999998,False,False
ENSG00000065268,1.3699999999999999,False,False
ENSG00000065308,1.825,True,False
ENSG00000065320,0.0,True,True
ENSG00000065328,6.995,False,False
ENSG00000065357,2.21,True,False
ENSG00000065413,0.015,True,True
ENSG00000065427,150.635,False,False
ENSG00000065457,9.739999999999998,False,False
ENSG00000065485,2.3,False,False
ENSG00000065491,3.6900000000000004,True,False
ENSG00000065518,492.185,False,False
ENSG00000065526,8.445,False,False
ENSG00000065534,0.16,True,False
ENSG00000065548,121.39999999999999,False,False
ENSG00000065559,1.895,False,False
ENSG00000065600,5.994999999999999,False,False
ENSG00000065613,5.1899999999999995,False,False
ENSG00000065615,6.98,True,False
ENSG00000065665,0.8,True,False
ENSG00000065675,2.5700000000000003,True,False
ENSG00000065717,0.29000000000000004,True,False
ENSG00000065802,4.77,False,False
ENSG00000065833,2.145,True,False
ENSG00000065882,0.365,True,False
ENSG00000065883,7.54,False,False
ENSG00000065911,282.615,False,False
ENSG00000065923,0.0,True,True
ENSG00000065970,0.7849999999999999,True,False
ENSG00000065978,262.0,False,False
ENSG00000065989,0.475,True,False
ENSG00000066027,19.285,True,False
ENSG00000066044,4.375,False,False
ENSG00000066084,2.9400000000000004,False,False
ENSG00000066117,1.06,False,False
ENSG00000066135,2.005,False,False
ENSG00000066136,3.5949999999999998,False,False
ENSG00000066185,0.04,True,True
ENSG00000066230,0.015,False,True
ENSG00000066279,16.0,False,False
ENSG00000066294,1.0750000000000002,True,False
ENSG00000066322,49.76,False,False
ENSG00000066336,0.1,False,False
ENSG00000066379,240.83499999999998,True,False
ENSG00000066382,0.0,True,True
ENSG00000066422,3.8649999999999998,False,False
ENSG00000066427,10.09,True,False
ENSG00000066455,4.824999999999999,True,False
ENSG00000066557,23.715,False,False
ENSG00000066583,13.445,True,False
ENSG00000066651,48.535,False,False
ENSG00000066654,25.375,False,False
ENSG00000066697,6.2,False,False
ENSG00000066735,0.0,True,True
ENSG00000066739,0.6699999999999999,True,False
ENSG00000066777,7.275,False,False
ENSG00000066827,0.19,True,False
ENSG00000066855,11.985,False,False
ENSG00000066923,0.7749999999999999,True,False
ENSG00000066926,13.785,False,False
ENSG00000066933,1.635,False,False
ENSG00000067057,18.03,False,False
ENSG00000067064,126.88499999999999,False,False
ENSG00000067066,13.885,False,False
ENSG00000067082,2.28,False,False
ENSG00000067113,0.05,True,True
ENSG00000067141,0.08,False,True
ENSG00000067167,12.2,False,False
ENSG00000067182,0.505,False,False
ENSG00000067191,0.07,True,True
ENSG00000067208,3.145,True,False
ENSG00000067221,0.15,True,False
ENSG00000067225,101.97,False,False
ENSG00000067248,4.6899999999999995,True,False
ENSG00000067334,71.35,False,False
ENSG00000067365,5.37,False,False
ENSG00000067369,3.535,False,False
ENSG00000067533,37.379999999999995,True,False
ENSG00000067560,341.62,False,False
ENSG00000067596,15.605,False,False
ENSG00000067601,8.725,True,False
ENSG00000067704,25.735,False,False
ENSG00000067798,0.0,True,True
ENSG00000067829,16.97,False,False
ENSG00000067836,0.6,True,False
ENSG00000067900,5.08,False,False
ENSG00000067955,25.96,False,False
ENSG00000067992,0.07500000000000001,True,True
ENSG00000068001,0.005,False,True
ENSG00000068024,0.125,False,False
ENSG00000068028,2.87,False,False
ENSG00000068078,0.885,True,False
ENSG00000068079,4.03,True,False
ENSG00000068097,3.25,False,False
ENSG00000068120,60.125,False,False
ENSG00000068137,0.385,True,False
ENSG00000068305,1.155,True,False
ENSG00000068308,2.58,False,False
ENSG00000068323,2.3449999999999998,False,False
ENSG00000068354,0.32,True,False
ENSG00000068366,7.525,False,False
ENSG00000068383,0.425,True,False
